MGI.ID	MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	RAT.ENTREZ.ID	RAT.GENE.NAME	psd	pres	syn
MGI:97435	17441	Mog	4340	MOG	24558	Mog	1	1	1
MGI:1349763	12934	Dpysl2	1808	DPYSL2	25416	Dpysl2	1	1	1
MGI:1924134	76884	Cyfip2	26999	CYFIP2	303073	Cyfip2	1	1	1
MGI:2387581	217124	Ppp1r9b	84687	PPP1R9B	84686	Ppp1r9b	1	1	1
MGI:1335094	235072	07-Sep	989	07-Sep	64551	Septin7	1	1	1
MGI:109484	22631	Ywhaz	7534	YWHAZ	25578	Ywhaz	1	1	1
MGI:2152971	116837	Rims1	22999	RIMS1	84556	Rims1	1	1	1
MGI:103079	19290	Pura	5813	PURA	307498	Pura	1	1	1
MGI:103147	13424	Dync1h1	1778	DYNC1H1	29489	Dync1h1	1	1	1
MGI:88025	109676	Ank2	287	ANK2	362036	Ank2	1	1	1
MGI:1930780	77579	Myh10	4628	MYH10	79433	Myh10	1	1	1
MGI:1926334	51792	Ppp2r1a	5518	PPP2R1A	117281	Ppp2r1a	1	1	1
MGI:1196356	232227	Iqsec1	9922	IQSEC1	686590	Iqsec1	1	1	1
MGI:3528396	245666	Iqsec2	23096	IQSEC2	685244	Iqsec2	1	1	1
MGI:1306778	17755	Map1b	4131	MAP1B	29456	Map1b	1	1	1
MGI:1355335	50876	Tmod2	29767	TMOD2	58814	Tmod2	1	1	1
MGI:87919	11519	Add2	119	ADD2	24171	Add2	1	1	1
MGI:106922	22335	Vdac3	7419	VDAC3	83532	Vdac3	1	1	1
MGI:106915	22334	Vdac2	7417	VDAC2	83531	Vdac2	1	1	1
MGI:95713	14609	Gja1	2697	GJA1	24392	Gja1	1	1	1
MGI:102520	12034	Phb2	11331	PHB2	114766	Phb2	1	1	1
MGI:1915517	68267	Slc25a22	79751	SLC25A22	309111	Slc25a22	1	1	1
MGI:101757	12631	Cfl1	1072	CFL1	29271	Cfl1	1	1	1
MGI:2137679	94280	Sfxn3	81855	SFXN3	65042	Sfxn3	1	1	1
MGI:109618	11966	Atp6v1b2	526	ATP6V1B2	117596	Atp6v1b2	1	1	1
MGI:88115	11946	Atp5a1	498	ATP5A1	65262	Atp5f1a	1	1	1
MGI:98869	22142	Tuba1a	7846	TUBA1A	64158	Tuba1a	1	1	1
MGI:106919	22333	Vdac1	7416	VDAC1	83529	Vdac1	1	1	1
MGI:1890773	60595	Actn4	81	ACTN4	63836	Actn4	1	1	1
MGI:88259	12325	Camk2g	818	CAMK2G	171140	Camk2g	1	1	1
MGI:103008	13823	Epb4.1l3	23136	EPB41L3	116724	Epb41l3	1	1	1
MGI:1924781	77531	Anks1b	56899	ANKS1B	314721	Anks1b	1	1	1
MGI:1919020	71770	Ap2b1	163	AP2B1	140670	Ap2b1	1	1	1
MGI:107717	17886	Myh9	4627	MYH9	100911597	Myh9	1	1	1
MGI:109194	22629	Ywhah	7533	YWHAH	25576	Ywhah	1	1	1
MGI:104872	19047	Ppp1cc	5501	PPP1CC	24669	Ppp1cc	1	1	1
MGI:1891917	54401	Ywhab	7529	YWHAB	56011	Ywhab	1	1	1
MGI:101920	11772	Ap2a2	161	AP2A2	81637	Ap2a2	1	1	1
MGI:104753	269116	Nfasc	23114	NFASC	116690	Nfasc	1	1	1
MGI:97309	380684	Nefh	4744	NEFH	24587	Nefh	1	1	1
MGI:1931838	56320	Dbn1	1627	DBN1	81653	Dbn1	1	1	1
MGI:108559	11426	Macf1	23499	MACF1	362587	Macf1	1	1	1
MGI:1890563	83767	Wasf1	8936	WASF1	294568	Wasf1	1	1	1
MGI:88275	12386	Ctnna2	1496	CTNNA2	297357	Ctnna2	1	1	1
MGI:99516	21960	Tnr	7143	TNR	25567	Tnr	1	1	1
MGI:96247	15516	Hsp90ab1	3326	HSP90AB1	301252	Hsp90ab1	1	1	1
MGI:1194500	226251	Ablim1	3983	ABLIM1	307989	Ablim1	1	1	1
MGI:891963	22630	Ywhaq	10971	YWHAQ	25577	Ywhaq	1	1	1
MGI:97845	19353	Rac1	5879	RAC1	363875	Rac1	1	1	1
MGI:1861691	56839	Lgi1	9211	LGI1	252892	Lgi1	1	1	1
MGI:107793	12933	Crmp1	1400	CRMP1	25415	Crmp1	1	1	1
MGI:97760	19088	Prkar2b	5577	PRKAR2B	24679	Prkar2b	1	1	1
MGI:1353496	11740	Slc25a5	292	SLC25A5	25176	Slc25a5	1	1	1
MGI:1349390	26875	Pclo	27445	PCLO	56768	Pclo	1	1	1
MGI:97050	17448	Mdh2	4191	MDH2	81829	Mdh2	1	1	1
MGI:1298405	11773	Ap2m1	1173	AP2M1	116563	Ap2m1	1	1	1
MGI:2667185	360013	Myo18a	399687	MYO18A	360570	Myo18a	1	1	1
MGI:1891833	56421	Pfkp	5214	PFKP	60416	Pfkp	1	1	1
MGI:97572	18673	Phb	5245	PHB	25344	Phb	1	1	1
MGI:95697	14580	Gfap	2670	GFAP	24387	Gfap	1	1	1
MGI:98331	20614	Snap25	6616	SNAP25	25012	Snap25	1	1	1
MGI:101863	11676	Aldoc	230	ALDOC	24191	Aldoc	1	1	1
MGI:107801	11947	Atp5b	506	ATP5B	171374	Atp5f1b	1	1	1
MGI:109318	17904	Myl6	4637	MYL6	685867	Myl6	1	1	1
MGI:1860139	54393	Gabbr1	2550	GABBR1	81657	Gabbr1	1	1	1
MGI:95835	14828	Hspa5	3309	HSPA5	25617	Hspa5	1	1	1
MGI:88106	98660	Atp1a2	477	ATP1A2	24212	Atp1a2	1	1	1
MGI:101931	20511	Slc1a2	6506	SLC1A2	29482	Slc1a2	1	1	1
MGI:1201778	11972	Atp6v0d1	9114	ATP6V0D1	291969	Atp6v0d1	1	1	1
MGI:1915472	227613	Tubb4b	10383	TUBB4B	296554	Tubb4b	1	1	1
MGI:1353498	18674	Slc25a3	5250	SLC25A3	245959	Slc25a3	1	1	1
MGI:88108	11931	Atp1b1	481	ATP1B1	25650	Atp1b1	1	1	1
MGI:109192	11472	Actn2	88	ACTN2	291245	Actn2	1	1	1
MGI:88105	11928	Atp1a1	476	ATP1A1	24211	Atp1a1	1	1	1
MGI:1915339	68089	Arpc4	10093	ARPC4	297518	Arpc4	1	1	1
MGI:1330861	13175	Dclk1	9201	DCLK1	83825	Dclk1	1	1	1
MGI:1201690	17760	Map6	4135	MAP6	29457	Map6	1	1	1
MGI:105980	12805	Cntn1	1272	CNTN1	117258	Cntn1	1	1	1
MGI:2442952	268932	Caskin1	57524	CASKIN1	140722	Caskin1	1	1	1
MGI:1354961	104015	Synj1	8867	SYNJ1	85238	Synj1	1	1	1
MGI:88355	12558	Cdh2	1000	CDH2	83501	Cdh2	1	1	1
MGI:2661175	245684	Cnksr2	22866	CNKSR2	59322	Cnksr2	1	1	1
MGI:894689	22627	Ywhae	7531	YWHAE	29753	Ywhae	1	1	1
MGI:99917	20512	Slc1a3	6507	SLC1A3	29483	Slc1a3	1	1	1
MGI:97749	268373	Ppia	5478	PPIA	25518	Ppia	1	1	1
MGI:108109	22628	Ywhag	7532	YWHAG	56010	Ywhag	1	1	1
MGI:1355333	50884	Nckap1	10787	NCKAP1	58823	Nckap1	1	1	1
MGI:2443181	244310	Dlgap2	9228	DLGAP2	116681	Dlgap2	1	1	1
MGI:97596	18751	Prkcb	5579	PRKCB	25023	Prkcb	1	1	1
MGI:107164	19055	Ppp3ca	5530	PPP3CA	24674	Ppp3ca	1	1	1
MGI:1346858	26413	Mapk1	5594	MAPK1	116590	Mapk1	1	1	1
MGI:95811	14802	Gria4	2893	GRIA4	29629	Gria4	1	1	1
MGI:1350917	27050	Rps3	6188	RPS3	140654	Rps3	1	1	1
MGI:1914253	67003	Uqcrc2	7385	UQCRC2	293448	Uqcrc2	1	1	1
MGI:1927234	56451	Suclg1	8802	SUCLG1	114597	Suclg1	1	1	1
MGI:87870	110446	Acat1	38	ACAT1	25014	Acat1	1	1	1
MGI:1278344	18082	Nipsnap1	8508	NIPSNAP1	360971	Nipsnap1	1	1	1
MGI:95780	14687	Gnaz	2781	GNAZ	25740	Gnaz	1	1	1
MGI:1096385	12032	Bcan	63827	BCAN	25393	Bcan	1	1	1
MGI:2443241	227197	Ndufs1	4719	NDUFS1	301458	Ndufs1	1	1	1
MGI:1926080	78830	Slc25a12	8604	SLC25A12	362145	Slc25a12	1	1	1
MGI:97548	18642	Pfkm	5213	PFKM	65152	Pfkm	1	1	1
MGI:109486	21672	Prdx2	7001	PRDX2	29338	Prdx2	1	1	1
MGI:98002	269261	Rpl12	6136	RPL12	499782	Rpl12	1	1	1
MGI:2138865	228836	Dlgap4	22839	DLGAP4	286930	Dlgap4	1	1	1
MGI:103064	13205	Ddx3x	1654	DDX3X	317335	Ddx3x	1	1	1
MGI:108390	16563	Kif2a	3796	KIF2A	84391	Kif2a	1	1	1
MGI:98386	20740	Sptan1	6709	SPTAN1	64159	Sptan1	1	1	1
MGI:1923959	76709	Arpc2	10109	ARPC2	301511	Arpc2	1	1	1
MGI:1920198	72948	Tppp	11076	TPPP	361466	Tppp	1	1	1
MGI:107745	13191	Dctn1	1639	DCTN1	29167	Dctn1	1	1	1
MGI:1096881	13627	Eef1a1	1915	EEF1A1	171361	Eef1a1	1	1	1
MGI:109602	268566	Gphn	10243	GPHN	64845	Gphn	1	1	1
MGI:1917723	56508	Rapgef4	11069	RAPGEF4	252857	Rapgef4	1	1	1
MGI:3580016	216439	Agap2	116986	AGAP2	65218	Agap2	1	1	1
MGI:95288	13629	Eef2	1938	EEF2	29565	Eef2	1	1	1
MGI:97815	19280	Ptprs	5802	PTPRS	25529	Ptprs	1	1	1
MGI:2444630	235380	Dmxl2	23312	DMXL2	315676	Dmxl2	1	1	1
MGI:88026	11735	Ank3	288	ANK3	361833	Ank3	1	1	1
MGI:1923749	76499	Clasp2	23122	CLASP2	114514	Clasp2	1	1	1
MGI:1858201	53321	Cntnap1	8506	CNTNAP1	84008	Cntnap1	1	1	1
MGI:96245	15526	Hspa9	3313	HSPA9	291671	Hspa9	1	1	1
MGI:104913	11308	Abi1	10006	ABI1	79249	Abi1	1	1	1
MGI:1927140	216963	Git1	28964	GIT1	83709	Git1	1	1	1
MGI:1355329	50932	Mink1	50488	MINK1	303259	Mink1	1	1	1
MGI:1931882	56445	Dnaja2	10294	DNAJA2	84026	Dnaja2	1	1	1
MGI:103010	13821	Epb4.1l1	2036	EPB41L1	59317	Epb41l1	1	1	1
MGI:3051532	382018	Unc13a	23025	UNC13A	64829	Unc13a	1	1	1
MGI:1929260	56428	Mtch2	23788	MTCH2	295922	Mtch2	1	1	1
MGI:1929461	330814	Adgrl1	22859	ADGRL1	65096	Adgrl1	1	1	1
MGI:98797	21991	Tpi1	7167	TPI1	24849	Tpi1	1	1	1
MGI:97180	17762	Mapt	4137	MAPT	29477	Mapt	1	1	1
MGI:1888939	56526	06-Sep	23157	06-Sep	691335	Septin6	1	1	1
MGI:98166	20116	Rps8	6202	RPS8	65136	Rps8	1	1	1
MGI:104518	21367	Cntn2	6900	CNTN2	25356	Cntn2	1	1	1
MGI:894310	20362	08-Sep	23176	08-Sep	303135	Septin8	1	1	1
MGI:103286	11975	Atp6v0a1	535	ATP6V0A1	29757	Atp6v0a1	1	1	1
MGI:894326	11973	Atp6v1e1	529	ATP6V1E1	297566	Atp6v1e1	1	1	1
MGI:1928370	56212	Rhog	391	RHOG	308875	Rhog	1	1	1
MGI:1913963	66713	Actr2	10097	ACTR2	289820	Actr2	1	1	1
MGI:96103	15275	Hk1	3098	HK1	25058	Hk1	1	1	1
MGI:99638	13728	Mark2	2011	MARK2	60328	Mark2	1	1	1
MGI:88407	12709	Ckb	1152	CKB	24264	Ckb	1	1	1
MGI:1337006	12950	Hapln1	1404	HAPLN1	29331	Hapln1	1	1	1
MGI:99523	18477	Prdx1	5052	PRDX1	117254	Prdx1	1	1	1
MGI:1890149	59069	Tpm3	7170	TPM3	117557	Tpm3	1	1	1
MGI:1920692	73442	Hspa12a	259217	HSPA12A	307997	Hspa12a	1	1	1
MGI:1915347	68097	Dynll2	140735	DYNLL2	140734	Dynll2	1	1	1
MGI:98747	21838	Thy1	7070	THY1	24832	Thy1	1	1	1
MGI:95613	14394	Gabra1	2554	GABRA1	29705	Gabra1	1	1	1
MGI:1306775	20916	Sucla2	8803	SUCLA2	361071	Sucla2	1	1	1
MGI:1930705	56216	Stx1b	112755	STX1B	24923	Stx1b	1	1	1
MGI:109355	20907	Stx1a	6804	STX1A	116470	Stx1a	1	1	1
MGI:1861457	56455	Dynll1	8655	DYNLL1	58945	Dynll1	1	1	1
MGI:2151013	111173	Erc1	23085	ERC1	266806	Erc1	1	1	1
MGI:1096368	11764	Ap1b1	162	AP1B1	29663	Ap1b1	1	1	1
MGI:1270129	15502	Dnaja1	3301	DNAJA1	65028	Dnaja1	1	1	1
MGI:1926784	56370	Tagln3	29114	TAGLN3	63837	Tagln3	1	1	1
MGI:2659021	218194	Phactr1	221692	PHACTR1	306844	Phactr1	1	1	1
MGI:97843	19339	Rab3a	5864	RAB3A	25531	Rab3a	1	1	1
MGI:3044626	380785	Begain	57596	BEGAIN	79146	Begain	1	0	1
MGI:97281	17967	Ncam1	4684	NCAM1	24586	Ncam1	1	1	1
MGI:96242	15510	Hspd1	3329	HSPD1	63868	Hspd1	1	1	1
MGI:1924574	234214	Sorbs2	8470	SORBS2	114901	Sorbs2	1	1	1
MGI:2681835	216856	Nlgn2	57555	NLGN2	117096	Nlgn2	1	1	1
MGI:1345635	23983	Pcbp1	5093	PCBP1	500242	Pcbp1	1	0	1
MGI:2386030	242425	Gabbr2	9568	GABBR2	83633	Gabbr2	1	1	1
MGI:1862037	57138	Slc12a5	57468	SLC12A5	171373	Slc12a5	1	1	1
MGI:97613	18795	Plcb1	23236	PLCB1	24654	Plcb1	1	1	1
MGI:2384296	235604	Camkv	79012	CAMKV	79011	Camkv	1	1	1
MGI:98759	21872	Tjp1	7082	TJP1	292994	Tjp1	1	1	1
MGI:88295	12293	Cacna2d1	781	CACNA2D1	25399	Cacna2d1	1	1	1
MGI:1861437	56637	Gsk3b	2932	GSK3B	84027	Gsk3b	1	1	1
MGI:1277214	52398	11-Sep	55752	11-Sep	305227	Septin11	1	1	1
MGI:1339639	108155	Ogt	8473	OGT	26295	Ogt	1	1	1
MGI:2446107	207728	Pde2a	5138	PDE2A	81743	Pde2a	1	1	1
MGI:104562	17957	Napb	63908	NAPB	499903	Napb	1	1	1
MGI:1924037	76787	Ppfia3	8541	PPFIA3	140591	Ppfia3	1	1	1
MGI:97298	18000	02-Sep	4735	02-Sep	117515	Septin2	1	1	1
MGI:1345148	24050	03-Sep	55964	03-Sep	56003	Septin3	1	1	1
MGI:1098749	238988	Erc2	26059	ERC2	259269	Erc2	1	1	1
MGI:1928375	56378	Arpc3	10094	ARPC3	288669	Arpc3	1	1	1
MGI:1858257	50997	Mpp2	4355	MPP2	85275	Mpp2	1	1	1
MGI:104694	13004	Ncan	1463	NCAN	58982	Ncan	1	1	1
MGI:1927152	64009	Syne1	23345	SYNE1	499010	Syne1	1	0	1
MGI:1096391	18189	Nrxn1	9378	NRXN1	60391	Nrxn1	1	1	1
MGI:88067	11838	Arc	23237	ARC	54323	Arc	1	0	1
MGI:1860197	104082	Wdr7	23335	WDR7	66031	Wdr7	1	1	1
MGI:1341299	103967	Dnm3	26052	DNM3	171574	Dnm3	1	1	1
MGI:1933947	104001	Rtn1	6252	RTN1	116644	Rtn1	1	1	1
MGI:3039563	242667	Dlgap3	58512	DLGAP3	286923	Dlgap3	1	1	1
MGI:1340046	11496	Adam22	53616	ADAM22	57033	Adam22	1	1	1
MGI:95784	14693	Gnb2	2783	GNB2	81667	Gnb2	1	1	1
MGI:95792	14719	Got2	2806	GOT2	25721	Got2	1	1	1
MGI:96650	16480	Jup	3728	JUP	81679	Jup	1	1	1
MGI:1927636	11837	Rplp0	6175	RPLP0	64205	Rplp0	1	1	1
MGI:1353472	27176	Rpl7a	6130	RPL7A	296596	Rpl7a	1	1	1
MGI:1313277	22318	Vamp2	6844	VAMP2	24803	Vamp2	1	1	1
MGI:2444846	320840	Negr1	257194	NEGR1	59318	Negr1	1	1	1
MGI:1261437	11949	Atp5c1	509	ATP5F1C	116550	Atp5f1c	1	1	1
MGI:1915599	68349	Ndufs3	4722	NDUFS3	295923	Ndufs3	1	1	1
MGI:88024	11733	Ank1	286	ANK1	306570	Ank1	1	1	1
MGI:88529	12974	Cs	1431	CS	170587	Cs	1	1	1
MGI:2385758	231148	Ablim2	84448	ABLIM2	360958	Ablim2	1	1	1
MGI:95639	14432	Gap43	2596	GAP43	29423	Gap43	1	1	1
MGI:102889	13003	Vcan	1462	VCAN	114122	Vcan	1	1	1
MGI:95772	14678	Gnai2	2771	GNAI2	81664	Gnai2	1	1	1
MGI:97750	19035	Ppib	5479	PPIB	64367	Ppib	1	1	1
MGI:103149	22223	Uchl1	7345	UCHL1	29545	Uchl1	1	1	1
MGI:2135609	108030	Lin7a	8825	LIN7A	85327	Lin7a	1	1	1
MGI:1345181	23969	Pacsin1	29993	PACSIN1	29704	Pacsin1	1	1	1
MGI:2144727	104721	Ddx1	1653	DDX1	84474	Ddx1	1	1	1
MGI:1913585	66335	Atp6v1c1	528	ATP6V1C1	299971	Atp6v1c1	1	1	1
MGI:1338002	14545	Gdap1	54332	GDAP1	312890	Gdap1	1	1	1
MGI:1913695	66445	Cyc1	1537	CYC1	300047	Cyc1	1	1	1
MGI:97532	18597	Pdha1	5160	PDHA1	29554	Pdha1	1	1	1
MGI:1913358	66108	Ndufa9	4704	NDUFA9	362440	Ndufa9	1	1	1
MGI:107686	17992	Ndufa4	4697	NDUFA4	681024	Ndufa4	1	1	1
MGI:1921367	74117	Actr3	10096	ACTR3	81732	Actr3	1	1	1
MGI:1932118	260297	Prrt1	80863	PRRT1	406167	Prrt1	1	1	1
MGI:1919210	71960	Myh14	79784	MYH14	308572	Myh14	1	1	1
MGI:96721	16728	L1cam	3897	L1CAM	50687	L1cam	1	1	1
MGI:97552	18648	Pgam1	5223	PGAM1	24642	Pgam1	1	1	1
MGI:1915141	67891	Rpl4	6124	RPL4	64302	Rpl4	1	1	1
MGI:1915084	67834	Idh3a	3419	IDH3A	114096	Idh3a	1	1	1
MGI:97547	18641	Pfkl	5211	PFKL	25741	Pfkl	1	1	1
MGI:1095410	22145	Tuba4a	7277	TUBA4A	316531	Tuba4a	1	1	1
MGI:98387	20741	Sptb	6710	SPTB	314251	Sptb	1	1	1
MGI:1914864	108664	Atp6v1h	51606	ATP6V1H	297797	Atp6v1h	1	1	1
MGI:105992	21881	Tkt	7086	TKT	64524	Tkt	1	1	1
MGI:1913348	66098	Chchd6	84303	CHCHD6	297436	Chchd6	1	1	1
MGI:1914410	67160	Eef1g	1937	EEF1G	293725	Eef1g	1	1	1
MGI:88110	11938	Atp2a2	488	ATP2A2	29693	Atp2a2	1	1	1
MGI:2385311	235339	Dlat	1737	DLAT	81654	Dlat	1	1	1
MGI:104871	19046	Ppp1cb	5500	PPP1CB	25594	Ppp1cb	1	1	1
MGI:1316660	12300	Cacng2	10369	CACNG2	84347	Cacng2	1	1	1
MGI:1929270	56431	Dstn	11034	DSTN	502674	Dstn	1	1	1
MGI:1921506	74256	Cyld	1540	CYLD	312937	Cyld	1	1	1
MGI:96680	16653	Kras	3845	KRAS	24525	Kras	1	1	1
MGI:1858964	54130	Actr1a	10121	ACTR1A	294010	Actr1a	1	1	1
MGI:1347351	26562	Ncdn	23154	NCDN	89791	Ncdn	1	1	1
MGI:1919935	72685	Dnajc6	9829	DNAJC6	313409	Dnajc6	1	1	1
MGI:1349764	26757	Dpysl4	10570	DPYSL4	25417	Dpysl4	1	1	1
MGI:1927555	54403	Slc4a4	8671	SLC4A4	84484	Slc4a4	1	1	1
MGI:105066	19325	Rab10	10890	RAB10	50993	Rab10	1	1	1
MGI:87904	11461	Actb	60	ACTB	81822	Actb	1	1	1
MGI:109239	16498	Kcnab2	8514	KCNAB2	29738	Kcnab2	1	1	1
MGI:700014	20411	Sorbs1	10580	SORBS1	686098	Sorbs1	1	0	1
MGI:3605641	232813	Shisa7	729956	SHISA7	691429	Shisa7	1	0	1
MGI:95851	227753	Gsn	2934	GSN	296654	Gsn	1	1	1
MGI:1917600	70350	Basp1	10409	BASP1	64160	Basp1	1	1	1
MGI:1338779	19291	Purb	5814	PURB	498407	Purb	1	1	1
MGI:109547	13430	Dnm2	1785	DNM2	25751	Dnm2	1	1	1
MGI:1345964	23790	Coro1c	23603	CORO1C	501841	Coro1c	1	1	1
MGI:98890	22201	Uba1	7317	UBA1	314432	Uba1	1	1	1
MGI:700009	20404	Sh3gl2	6456	SH3GL2	116743	Sh3gl2	1	1	1
MGI:97595	18750	Prkca	5578	PRKCA	24680	Prkca	1	1	1
MGI:1351340	108069	Grm3	2913	GRM3	24416	Grm3	1	1	1
MGI:104582	13859	Eps15l1	58513	EPS15L1	361120	Eps15l1	1	1	1
MGI:97599	18754	Prkce	5581	PRKCE	29340	Prkce	1	1	1
MGI:1919792	72542	Pgam5	192111	PGAM5	288731	Pgam5	1	1	1
MGI:105100	12388	Ctnnd1	1500	CTNND1	311163	Ctnnd1	1	1	1
MGI:2448506	224020	Pi4ka	5297	PI4KA	64161	Pi4ka	1	1	1
MGI:1353561	30960	Vapa	9218	VAPA	58857	Vapa	1	1	1
MGI:108057	19988	Rpl6	6128	RPL6	117042	Rpl6	1	1	1
MGI:1343877	19896	Rpl10a	4736	RPL10A	81729	Rpl10a	1	1	1
MGI:104785	17920	Myo6	4646	MYO6	315840	Myo6	1	0	1
MGI:109656	16796	Lasp1	3927	LASP1	29278	Lasp1	1	1	1
MGI:1927139	64051	Sv2a	9900	SV2A	117559	Sv2a	1	1	1
MGI:1860437	56177	Olfm1	10439	OLFM1	93667	Olfm1	1	1	1
MGI:99846	14567	Gdi1	2664	GDI1	25183	Gdi1	1	1	1
MGI:95393	13806	Eno1	2023	ENO1	24333	Eno1	1	1	1
MGI:87880	11429	Aco2	50	ACO2	79250	Aco2	1	1	1
MGI:2141861	232910	Ap2s1	1175	AP2S1	65046	Ap2s1	1	1	1
