"PMID","Year","Author","LastName","name","Iteration","Iteration (#1)"
"7530043","1995","HuyerGGDepartment of Biochemistry and Molecular Biology, Merck Frosst Centre for Therapeutic Research, Pointe-Claire-Dorval, Québec, Canada.","Huyer","HUYER_1995",13,0
"7530249","1995","AvrahamSSDivision of Hematology/Oncology, New England Deaconess Hospital, Harvard Medical School, Boston, Massachusetts 02215.","Avraham","AVRAHAM_1995",14,0
"7532213","1995","SinghT JTJNew York State Institute for Basic Research in Developmental Disabilities, Staten Island 10314.","Singh","SINGH_1995",15,0
"7533327","1995","ChengGGDepartment of Biology, Massachusetts Institute of Technology, Cambridge 02139.","Cheng","CHENG_1995",16,0
"7535770","1995","RaingeaudJJDepartment of Biochemistry and Molecular Biology, University of Massachusetts Medical School, Worcester 01605, USA.","Raingeaud","RAINGEAUD_1995",17,0
"7535778","1995","ErikssonAALudwig Institute for Cancer Research, Uppsala, Sweden.","Eriksson","ERIKSSON_1995",18,0
"7536190","1995","BoldinM PMPDepartment of Membrane Research and Biophysics, Weizmann Institute of Science, Rehovot, Israel.","Boldin","BOLDIN_1995",19,0
"7536927","1995","LadburyJ EJEDepartment of Pharmacology, New York University Medical Center, NY 10016, USA.","Ladbury","LADBURY_1995",20,0
"7537734","1995","TracySSMolecular Biology and Virology Laboratory, Salk Institute, La Jolla, California 92037, USA.","Tracy","TRACY_1995",21,0
"7538908","1995","StangerB ZBZHoward Hughes Medical Institute, Harvard Medical School, Boston, Massachusetts 02115, USA.","Stanger","STANGER_1995",22,0
"7541045","1995","CraparoAADepartment of Physiology, University of Maryland School of Medicine, Baltimore 21201, USA.","Craparo","CRAPARO_1995",23,0
"7545675","1995","KlinghofferR ARANational Jewish Center for Immunology and Respiratory Medicine, Division of Basic Sciences, Denver, Colorado 80206, USA.","Klinghoffer","KLINGHOFFER_1995",24,0
"7559507","1995","Tartare-DeckertSSINSERM U145, Nice, France.","Tartare-Deckert","TARTARE-DECKERT_1995",25,0
"7568151","1995","CosentinoG PGPDepartment of Biochemistry, McGill University, Montreal, QC Canada.","Cosentino","COSENTINO_1995",26,0
"7569905","1995","KornauH CHCCenter for Molecular Biology (ZMBH), University of Heidelberg, Germany.","Kornau","KORNAU_1995",27,0
"7588787","1995","HergetTTInstitute of Physiological Chemistry, University of Mainz, Germany.","Herget","HERGET_1995",28,0
"7590237","1995","ShiYYHoward Hughes Medical Institute, Columbia University, College of Physicians and Surgeons, New York 10032, USA.","Shi","SHI_1995",29,0
"7592815","1995","McCrightBBDepartment of Oncological Sciences, University of Utah, Salt Lake City 84112, USA.","McCright","MCCRIGHT_1995",30,0
"7592896","1995","TeoMMGlaxo-IMCB Group, Institute of Molecular and Cell Biology, National University of Singapore, Kent Ridge, Singapore.","Teo","TEO_1995",31,0
"7593184","1995","PageL JLJDepartment of Clinical Biochemistry, University of Cambridge, Addenbrooke's Hospital, England.","Page","PAGE_1995",32,0
"7596430","1995","NicholsonD WDWDepartment of Biochemistry and Molecular Biology, Merck Frosst Centre for Therapeutic Research, Pointe Claire-Dorval, Quebec, Canada.","Nicholson","NICHOLSON_1995",33,0
"7603572","1995","YokoyamaNNDepartment of Molecular Biology, Graduate School of Medical Science, Kyushu-University, Fukuoka, Japan.","Yokoyama","YOKOYAMA_1995",34,0
"7606712","1995","SuL KLKJohns Hopkins Oncology Center, Baltimore, Maryland 21231, USA.","Su","SU_1995",35,0
"7607248","1995","GautelMMEMBL, Heidelberg, Germany.","Gautel","GAUTEL_1995",36,0
"7609904","1995","ZamanilloDDDepartamento de Bioquímica y Biología Molecular, Universidad de León, Spain.","Zamanillo","ZAMANILLO_1995",37,0
"7616230","1995","GongC XCXNew York State Institute for Basic Research in Developmental Disabilities, Staten Island 10314, USA.","Gong","GONG_1995",38,0
"7623830","1995","ZhaoYYCharles A. Dana Research Institute, Beth Israel Hospital, Boston, Massachusetts 02215, USA.","Zhao","ZHAO_1995",39,0
"7623849","1995","CantorS BSBDepartment of Biochemistry, Tufts University School of Medicine, Boston, Massachusetts 02111, USA.","Cantor","CANTOR_1995",40,0
"7629131","1995","YetterAADivision of Hematology-Oncology, Loyola University of Chicago, Maywood, Illinois 60153, USA.","Yetter","YETTER_1995",41,0
"7629134","1995","AprelikovaOODepartment of Medicine, University of North Carolina, Chapel Hill 27599-7295, USA.","Aprelikova","APRELIKOVA_1995",42,0
"7629138","1995","YangS SSSDepartment of Molecular Genetics and Microbiology, School of Medicine, State University of New York, Stony Brook 11794, USA.","Yang","YANG_1995",43,0
"7634088","1994","TimmDDDepartment of Crystallography, Birkbeck College, London, UK.","Timm","TIMM_1994",44,0
"7642639","1995","ZhuXXCenter for Molecular Medicine/Institute of Biotechnology, University of Texas Health Science Center at San Antonio 78245, USA.","Zhu","ZHU_1995",45,0
"7644510","1995","ConklinD SDSHoward Hughes Medical Institute, Cold Spring Harbor Laboratory, NY 11724, USA.","Conklin","CONKLIN_1995",46,0
"7649987","1995","HiranoKKMuscle Biology Group, University of Arizona, Tucson 85721, USA.","Hirano","HIRANO_1995",47,0
"7651399","1995","DanielJ MJMDepartment of Tumor Cell Biology, St. Jude Children's Research Hospital, Memphis, Tennessee 38105, USA.","Daniel","DANIEL_1995",48,0
"7651819","1995","VoitRRDivision of Molecular Biology of the Cell II, German Cancer Research Center, Heidelberg.","Voit","VOIT_1995",49,0
"7657594","1995","CunninghamS ASADepartment of Pharmacology, Texas Biotechnology Corporation, Houston 77030, USA.","Cunningham","CUNNINGHAM_1995",0,1
"7657660","1995","QuelleF WFWDepartment of Biochemistry, St. Jude Children's Research Hospital, Memphis, Tennessee 38105, USA.","Quelle","QUELLE_1995",1,1
"7658474","1995","WebbP APACentre for Protein Engineering, MRC Centre, Cambridge, UK.","Webb","WEBB_1995",2,1
"7664109","1995","JeffreyP DPDBristol-Myers Squibb Pharmaceutical Research Institute, Princeton, New Jersey 08543-4000, USA.","Jeffrey","JEFFREY_1995",3,1
"7665556","1995","PandeyAADepartment of Pathology, University of Michigan Medical School, Ann Arbor 48109-0602, USA.","Pandey","PANDEY_1995",4,1
"7673144","1995","BennerG EGEDepartment of Biological Sciences, University of North Texas, Denton 76203-5018, USA.","Benner","BENNER_1995",5,1
"7673206","1995","MaromMMDepartment of Biochemistry, George S. Wise Faculty of Life Sciences, Sheba Medical Center, Tel Hashomer, Israel.","Marom","MAROM_1995",6,1
"7673236","1995","Jullien-FloresVVU248, INSERM, Faculté de Médecine Lariboisière, Paris, France.","Jullien-Flores","JULLIEN-FLORES_1995",7,1
"7678051","1993","ValiusMMNational Jewish Center for Immunology and Respiratory Medicine, Denver, Colorado 80206.","Valius","VALIUS_1993",8,1
"7680095","1993","FelderSSDepartment of Pharmacology, New York University Medical Center, New York 10016.","Felder","FELDER_1993",9,1
"7680644","1993","WilliamsK PKPJoslin Diabetes Center, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts 02215.","Williams","WILLIAMS_1993",10,1
"7682895","1993","ValiusMMNational Jewish Center for Immunology and Respiratory Medicine, Denver, Colorado 80206.","Valius","VALIUS_1993",11,1
"7685104","1993","ZhangZ YZYDepartment of Biological Chemistry, Medical School, Walther Cancer Institute, University of Michigan, Ann Arbor 48109.","Zhang","ZHANG_1993",12,1
"7687536","1993","NobleM EMEEMBL, Heidelberg, Germany.","Noble","NOBLE_1993",13,1
"7693694","1993","MilarskiK LKLDepartment of Signal Transduction, Parke-Davis Pharmaceutical Research Division, Warner-Lambert Company, Ann Arbor, Michigan 48105.","Milarski","MILARSKI_1993",14,1
"7716522","1995","MaignanSSLaboratoire de Biologie Structurale, Unite Mixte de Recherche CNRS-Université de Paris-Sud, Gif sur Yvette, France.","Maignan","MAIGNAN_1995",15,1
"7724523","1995","MaucuerAAInstitut National de la Santé et de la Recherche Médicale, Unité 153, Paris, France.","Maucuer","MAUCUER_1995",16,1
"7737129","1995","LivingstoneCCLaboratory of Gene Regulation, Imperial Cancer Research Fund, London, UK.","Livingstone","LIVINGSTONE_1995",17,1
"7759517","1995","ZhouGGDepartment of Biological Chemistry, University of Michigan Medical School, Ann Arbor 48109-0606, USA.","Zhou","ZHOU_1995",18,1
"7759531","1995","WangJJDivision of Cell and Molecular Biology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.","Wang","WANG_1995",19,1
"7768895","1995","HataYYHoward Hughes Medical Institute, University of Texas Southwestern Medical School, Dallas 75235, USA.","Hata","HATA_1995",20,1
"7773779","1994","GoudreauNNDépartement de Pharmacochimie-Moléculaire et Structurale, U266, INSERM-URA D1500 CNRS, Université René Descartes-UFR des Sciences Pharmaceutiques et Biologiques, Paris, France.","Goudreau","GOUDREAU_1994",21,1
"7780740","1995","MayerB JBJHoward Hughes Medical Institute, Children's Hospital, Department of Microbiology and Molecular Genetics, Harvard Medical School, Boston, Massachusetts 02115, USA.","Mayer","MAYER_1995",22,1
"7782287","1995","KorotchkinaL GLGDepartment of Biochemistry, School of Medicine and Biomedical Sciences, State University of New York at Buffalo 14214, USA.","Korotchkina","KOROTCHKINA_1995",23,1
"7782346","1995","Janoueix-LeroseyIIUnité de Génétique Somatique URA CNRS 361, Institut Pasteur, Paris, France.","Janoueix-Lerosey","JANOUEIX-LEROSEY_1995",24,1
"7791754","1995","LiuFFCell Biology and Genetics Program, Memorial Sloan-Kettering Cancer Center, New York, New York 10021, USA.","Liu","LIU_1995",25,1
"7791872","1995","NassarNNMax-Planck-Institut für molekulare Physiologie, Abteilung Strukturelle Biologie, Dortmund, Germany.","Nassar","NASSAR_1995",26,1
"7797556","1995","StoverD RDRResearch Department, Ciba Geigy Limited, Basel, Switzerland.","Stover","STOVER_1995",27,1
"7806521","1994","ReedV SVSDepartment of Chemistry, Georgetown University, Washington, D.C. 20057.","Reed","REED_1994",28,1
"7834748","1995","YangEEHoward Hughes Medical Institute, Department of Medicine, Washington University School of Medicine, St. Louis, Missouri 63110.","Yang","YANG_1995",29,1
"7862125","1995","HanLLDepartment of Biological Chemistry, UCLA School of Medicine 90024.","Han","HAN_1995",30,1
"7862126","1995","BusteloX RXRDepartment of Molecular Biology, Bristol-Myers Squibb Pharmaceutical Research Institute, Princeton, New Jersey 08543-4000.","Bustelo","BUSTELO_1995",31,1
"7882972","1995","LiSSDepartment of Molecular Biophysics and Biochemistry, Yale University School of Medicine, New Haven, CT 06520.","Li","LI_1995",32,1
"7890683","1995","KawabataMMDepartment of Cell Biology, Vanderbilt University, Nashville, Tennessee 37232.","Kawabata","KAWABATA_1995",33,1
"7891706","1995","RenMMDepartment of Cell Biology, New York University Medical Center, New York 10016.","Ren","REN_1995",34,1
"7891724","1995","DattaKKFox Chase Cancer Center, Philadelphia, Pennsylvania 19111.","Datta","DATTA_1995",35,1
"7923370","1994","DunaiefJ LJLHoward Hughes Medical Institute, Department of Microbiology, New York, New York.","Dunaief","DUNAIEF_1994",36,1
"7925280","1994","GouilleuxFFInstitute for Experimental Cancer Research, Tumor Biology Center, Freiburg, Germany.","Gouilleux","GOUILLEUX_1994",37,1
"7926767","1994","RenRRRockefeller University, New York, New York 10021.","Ren","REN_1994",38,1
"7931292","1994","YangS DSDInstitute of Biomedical Sciences, National Tsing Hua University, Hsinchu, Taiwan, R.O.C.","Yang","YANG_1994",39,1
"7935368","1994","O'NeillT JTJDepartment of Physiology, University of Maryland School of Medicine, Baltimore 21201.","O'Neill","O'NEILL_1994",40,1
"7935391","1994","ArvidssonA KAKLudwig Institute for Cancer Research, Biomedical Center, Uppsala, Sweden.","Arvidsson","ARVIDSSON_1994",41,1
"7935795","1994","FantlW JWJDaiichi Research Center, Cardiovascular Research Institute, Department of Medicine, University of California, San Francisco 94143.","Fantl","FANTL_1994",42,1
"7938009","1994","FeuersteinRRDepartment of Genetics, University of Pennsylvania School of Medicine, Philadelphia 19104-6145.","Feuerstein","FEUERSTEIN_1994",43,1
"7968380","1994","GuJJNeurobiology and Anesthesiology Branch, National Institute of Dental Research, National Institutes of Health, Bethesda, MD 20892.","Gu","GU_1994",44,1
"7982920","1994","PandeyAADepartment of Pathology, University of Michigan Medical School, Ann Arbor 48109-0602.","Pandey","PANDEY_1994",45,1
"7990966","1994","AmorJ CJCDepartment of Biochemistry, Brandeis University, Waltham, Massachusetts 02254.","Amor","AMOR_1994",46,1
"7993895","1994","GergelJ RJRDepartment of Physiology and Biophysics, School of Medicine, State University of New York at Stony Brook 11794.","Gergel","GERGEL_1994",47,1
"8026469","1994","Diaz-MecoM TMTCentro de Biología Molecular, CSIC-UAM, Madrid, Spain.","Diaz-Meco","DIAZ-MECO_1994",48,1
"8027997","1994","LiuHHDepartment of Biological Sciences, Purdue University, West Lafayette, IN 47907-1392.","Liu","LIU_1994",49,1
"8034666","1994","GossV LVLDepartment of Pharmacology, Case Western Reserve University School of Medicine, Cleveland, Ohio 44106.","Goss","GOSS_1994",0,2
"8041779","1994","TanakaNNDepartment of Microbiology, Tohoku University School of Medicine, Sendai, Japan.","Tanaka","TANAKA_1994",1,2
"8051045","1994","DarnayB GBGDepartment of Clinical Immunology and Biological Therapy, University of Texas M. D. Anderson Cancer Center, Houston 77030.","Darnay","DARNAY_1994",2,2
"8057149","1994","MiyajiKKDepartment of Neurosurgery, Hyogo College of Medicine, Japan.","Miyaji","MIYAJI_1994",3,2
"8066444","1994","ZhouG WGWDepartment of Biochemistry and Biophysics, University of California, San Francisco 94143-0448.","Zhou","ZHOU_1994",4,2
"8068621","1994","BoneRRDepartment of Biophysical Chemistry, Merck Research Laboratories, Rahway, New Jersey 07065.","Bone","BONE_1994",5,2
"8085158","1994","FreedEEOnyx Pharmaceuticals, Richmond, CA 94806-5206.","Freed","FREED_1994",6,2
"8107144","1994","CookW JWJDepartment of Pathology, University of Alabama at Birmingham 35294.","Cook","COOK_1994",7,2
"8119416","1994","HelpsN RNRDepartment of Biochemistry, The University, Dundee, Scotland, UK.","Helps","HELPS_1994",8,2
"8119896","1994","DechertUUBiomedical Research Centre, University of British Columbia, Canada.","Dechert","DECHERT_1994",9,2
"8125920","1994","PickartC MCMDepartment of Biochemistry, State University of New York, Buffalo 14214.","Pickart","PICKART_1994",10,2
"8144599","1994","KunapuliPPDepartment of Pharmacology, Jefferson Cancer Institute, Thomas Jefferson University, Philadelphia, Pennsylvania 19107.","Kunapuli","KUNAPULI_1994",11,2
"8170997","1994","GrañaXXFels Institute for Cancer Research and Molecular Biology, Department of Pathology, Temple University, School of Medicine, Philadelphia, PA 19140.","Graña","GRAÑA_1994",12,2
"8183901","1994","PleimanC MCMDepartment of Pediatrics, National Jewish Center for Immunology and Respiratory Medicine, Denver, CO 80206.","Pleiman","PLEIMAN_1994",13,2
"8194526","1994","FellerS MSMLaboratory of Molecular Oncology, Rockefeller University, New York, NY 10021.","Feller","FELLER_1994",14,2
"8218161","1993","LoveR ARAAgouron Pharmaceuticals, Inc., San Diego, California 92121.","Love","LOVE_1993",15,2
"8226933","1993","ZhengC FCFDepartment of Biological Chemistry, University of Michigan Medical School, Ann Arbor 48109-0606.","Zheng","ZHENG_1993",16,2
"8280084","1993","StokoeDDDepartment of Biochemistry, University of Dundee, Scotland, UK.","Stokoe","STOKOE_1993",17,2
"8288605","1994","HenseyC ECECenter for Molecular Medicine/Institute of Biotechnology, University of Texas Health Science Center, San Antonio 78245.","Hensey","HENSEY_1994",18,2
"8289821","1994","MinamiYYDepartment of Cell Biology, Tokyo Metropolitan Institute of Medical Science, Japan.","Minami","MINAMI_1994",19,2
"8294464","1994","CremersF PFPDepartment of Molecular Genetics, University of Texas Southwestern Medical Center at Dallas, Texas 75235-9046.","Cremers","CREMERS_1994",20,2
"8302837","1994","BhatT NTNCentre National de la Recherche Scientifique, Unité Associée 359, Institut Pasteur, Paris, France.","Bhat","BHAT_1994",21,2
"8321198","1993","ShiEEW. Alton Jones Cell Science Center, Inc., Lake Placid, New York 12946.","Shi","SHI_1993",22,2
"8332187","1993","ZhangX FXFDiabetes Unit, Harvard Medical School, Charlestown, Massachusetts.","Zhang","ZHANG_1993",23,2
"8375396","1993","KochsGGUniversity of Freiburg, Institute of Molecular Cell Biology, Germany.","Kochs","KOCHS_1993",24,2
"8382612","1993","ShoelsonS ESEJoslin Diabetes Center, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02215.","Shoelson","SHOELSON_1993",25,2
"8384581","1993","DurfeeTTCenter for Molecular Medicine/Institute of Biotechnology, University of Texas Health Science Center, San Antonio 78245.","Durfee","DURFEE_1993",26,2
"8395021","1993","McLaughlinP JPJMRC Laboratory of Molecular Biology, Cambridge, UK.","McLaughlin","MCLAUGHLIN_1993",27,2
"8413674","1993","ArevaloJ HJHDepartment of Molecular Biology, Scripps Research Institute, La Jolla, California 92037.","Arevalo","AREVALO_1993",28,2
"8419915","1993","OhanaBBDepartment of Gene Regulation, Roche Institute of Molecular Biology, Nutley, NJ 07110.","Ohana","OHANA_1993",29,2
"8438166","1993","RenRRRockefeller University, New York, NY 10021.","Ren","REN_1993",30,2
"8491186","1993","SkolnikE YEYNew York University Medical Center, Department of Pharmacology, NY 10016.","Skolnik","SKOLNIK_1993",31,2
"8524286","1996","Diaz-MecoM TMTCentro de Biología Molecular Severo Ochoa, (Consejo Superior de Investigaciones Científicas-Universidad Autónoma de Madrid), Universidad Autónoma, Spain.","Diaz-Meco","DIAZ-MECO_1996",32,2
"8524317","1996","RomeroFFInstitut Cochin de Génétique Moléculaire, U363 Institut National de la Santé et de la Recherche Médicale (INSERM), Hôpital Cochin, Paris, France.","Romero","ROMERO_1996",33,2
"8524402","1995","KissingerC RCRAgouron Pharmaceuticals Inc., San Diego, California 92121-1121, USA.","Kissinger","KISSINGER_1995",34,2
"8524413",,"CrossD ADAMRC Protein Phosphorylation Unit, Department of Biochemistry, University of Dundee, UK.","Cross","CROSS_",35,2
"8524829","1995","PulidoRRDivision of Tumor Immunology, Dana-Farber Cancer Institute, Boston, MA 02115, USA.","Pulido","PULIDO_1995",36,2
"8524870","1995","ChuKKDepartment of Medicine, University of California, San Francisco 94143, USA.","Chu","CHU_1995",37,2
"8524874","1995","De VriesLLDivision of Cellular and Molecular Medicine, University of California, San Diego, La Jolla 92093-0651, USA.","De Vries","DE VRIES_1995",38,2
"8537403","1995","OkanoIIDepartment of Biology, Faculty of Science, Kyushu University, Fukuoka, Japan.","Okano","OKANO_1995",39,2
"8538749","1996","HanniganG EGECancer Biology Research Program, Sunnybrook Health Science Centre, University of Toronto, Ontario, Canada.","Hannigan","HANNIGAN_1996",40,2
"8538796","1996","EckM JMJLaboratory of Molecular Medicine, Children's Hospital, Boston, Massachusetts, USA.","Eck","ECK_1996",41,2
"8543060","1995","MadaulePPSecond Department of Pharmacology, Faculty of Medicine, Kyoto University, Japan.","Madaule","MADAULE_1995",42,2
"8557118","1996","PalmerR HRHProtein Phosphorylation Laboratory, Imperial Cancer Research Fund, London, UK.","Palmer","PALMER_1996",43,2
"8576257","1996","NuberUUDeutsches Krabsforschungszentrum, Angewandte Tumorvirologie, Heidelberg, Federal Republic of Germany.","Nuber","NUBER_1996",44,2
"8576261","1996","BaboshinaO VOVDepartment of Biochemistry, Medical College of Wisconsin, Milwaukee 53226, USA.","Baboshina","BABOSHINA_1996",45,2
"8599089","1996","WangTTPediatric Surgical Research Laboratories, Massachusetts General Hospital, Boston, MA 02114, USA.","Wang","WANG_1996",46,2
"8601312","1996","MuslinA JAJDepartment of Medicine, Jewish Hospital, Washington University School of Medicine, St. Louis, Missouri, 63110, USA.","Muslin","MUSLIN_1996",47,2
"8601796","1996","NiethammerMMDepartment of Neurobiology, Harvard Medical School, Boston, Massachusetts 02114, USA.","Niethammer","NIETHAMMER_1996",48,2
"8603043","1996","ChoiH SHSDepartment of Molecular Biology, Massachusetts General Hospital, Boston, USA.","Choi","CHOI_1996",49,2
"8603569","1996","Tartare-DeckertSSINSERM, Nice Cedex 2, France.","Tartare-Deckert","TARTARE-DECKERT_1996",0,3
"8605877","1996","GuptaSSDepartment of Medicine, Columbia University, NY 10032, USA.","Gupta","GUPTA_1996",1,3
"8609418","1996","MurataTTLaboratory of Molecular Tumor Biology, Food and Drug Adminstration, Bethesda, MD 20892, USA.","Murata","MURATA_1996",2,3
"8610150","1996","KovalenkoO VOVDepartment of Genetics, Yale University School of Medicine, New Haven CT 06510, USA.","Kovalenko","KOVALENKO_1996",3,3
"8617731","1996","OkadaTTDepartment of Physiology II, Kobe University School of Medicine, 7-5-1 Kusunoki-cho, Chuo-ku, Kobe 650, Japan.","Okada","OKADA_1996",4,3
"8617797","1996","TehraniM AMAUniversity of Texas Southwestern Medical Center, Department of Pharmacology, Dallas, 75235-9041, USA.","Tehrani","TEHRANI_1996",5,3
"8619999","1996","CastañoJ GJGDepartamento de Bioquímica e Instituto de Investigaciones Biomédicas del Consejo Superior de Investigaciones Científicas, Facultad de Medicine de la UAM, Madrid, Spain.","Castaño","CASTAÑO_1996",6,3
"8621392","1996","ZhangZ YZYDepartment of Molecular Pharmacology, Albert Einstein College of Medicine, Bronx, New York 10461, USA.","Zhang","ZHANG_1996",7,3
"8621459","1996","PorfiriEEONYX Pharmaceuticals, Richmond, California 94806, USA.","Porfiri","PORFIRI_1996",8,3
"8621530","1996","HansenHHSection on Molecular Biology, Joslin Diabetes Center, Harvard Medical School, Boston, Massachusetts 02215, USA.","Hansen","HANSEN_1996",9,3
"8621542","1996","MeyerC FCFDepartment of Microbiology and Immunology, Baylor College of Medicine, One Baylor Plaza, Houston, Texas 77030, USA.","Meyer","MEYER_1996",10,3
"8621664","1996","MukaiHHDepartment of Biology, Faculty of Science, Kobe University, Japan.","Mukai","MUKAI_1996",11,3
"8622669","1996","RaingeaudJJHoward Hughes Medical Institute and Program in Molecular Medicine, University of Massachusetts Medical School, Worcester 01605 USA.","Raingeaud","RAINGEAUD_1996",12,3
"8622701","1996","MohammadiMMDepartment of Pharmacology, New York University Medical Center, 10016, USA.","Mohammadi","MOHAMMADI_1996",13,3
"8625413","1996","BrenmanJ EJEDepartment of Physiology, School of Medicine, University of California at San Fancisco, California 94143, USA.","Brenman","BRENMAN_1996",14,3
"8626379","1996","Sawka-VerhelleDDINSERM U145, Nice, France.","Sawka-Verhelle","SAWKA-VERHELLE_1996",15,3
"8626678","1996","LeeM JMJDepartment of Molecular Biology, Holland Laboratory, American Red Cross, Rockville, Maryland 20855, USA.","Lee","LEE_1996",16,3
"8626699","1996","SteinBBSignal Pharmaceuticals Inc., San Diego, California 92121, USA. bstein@signalpharm.com","Stein","STEIN_1996",17,3
"8626767","1996","ButchE RERDepartment of Biological Chemistry, University of Michigan Medical School, Ann Arbor, 48109-0606, USA.","Butch","BUTCH_1996",18,3
"8628282","1996","BorrelloM GMGDivisione di Oncologia Sperimentale A, Istituto Nazionale Tumori, Milan, Italy.","Borrello","BORRELLO_1996",19,3
"8628317","1996","MorcosPPDepartment of Microbiology and Molecular Genetics, University of California, Los Angeles 90095-1489, USA.","Morcos","MORCOS_1996",20,3
"8630736","1996","ParkHHDepartment of Microbiology and Molecular Genetics, University of California, Los Angeles 90095-1662, USA.","Park","PARK_1996",21,3
"8631738","1996","FujitaYYDepartment of Molecular Biology and Biochemistry, Osaka University Medical School, Suita, Japan.","Fujita","FUJITA_1996",22,3
"8631898","1996","IllenbergerSSMax-Planck-Unit for Structural Molecular Biology, Hamburg, Germany.","Illenberger","ILLENBERGER_1996",23,3
"8636150","1996","YanKKDepartment of Anesthesiology, Washington University School of Medicine, St. Louis, Missouri 63110, USA.","Yan","YAN_1996",24,3
"8638164","1996","ShibuyaHHFaculty of Pharmaceutical Sciences, Hokkaido University, Sapporo, Japan.","Shibuya","SHIBUYA_1996",25,3
"8639815","1996","TauchiTTFirst Department of Internal Medicine, Tokyo Medical College, Tokyo, Japan.","Tauchi","TAUCHI_1996",26,3
"8643544","1996","RenMMDepartment of Cell Biology, New York University School of Medicine, New York, 10016, USA.","Ren","REN_1996",27,3
"8647104","1996","BorowskiPPInstitut für Medizinische Mikrobiologie und Immunologie, Universitätskrankenhaus Eppendorf, Hamburg, Germany.","Borowski","BOROWSKI_1996",28,3
"8654373","1996","GuptaSSProgram in Moleular Medicine, Department of Biochemistry and Molecular Biology, University of Massachusetts Medical School, Worcester, MA 01605, USA.","Gupta","GUPTA_1996",29,3
"8662507","1996","ChoiJJDepartment of Chemistry, Baker Laboratory, Cornell University, Ithaca, NY 14853-1301, USA.","Choi","CHOI_1996",30,3
"8662591","1996","GerhartzCCInstitute of Biochemistry, Rheinisch-Westfälische Technische Hochschule Aachen, 52057 Aachen, Germany.","Gerhartz","GERHARTZ_1996",31,3
"8662806","1996","HeWWDepartment of Physiology, University of Maryland School of Medicine, Baltimore 21201, USA.","He","HE_1996",32,3
"8662982","1996","DurickKKDepartment of Chemistry, University of California, San Diego, La Jolla, California 92093-0654, USA.","Durick","DURICK_1996",33,3
"8663064","1996","MaruYYDepartment of Genetics, Institute of Medical Science, University of Tokyo, 4-6-1 Shirokanedai, Minato-ku, Tokyo 108, Japan.","Maru","MARU_1996",34,3
"8663071","1996","ThompsonL JLJSealy Center for Oncology and Hematology, University of Texas Medical Branch, Galveston, Texas 77555, USA.","Thompson","THOMPSON_1996",35,3
"8663146","1996","LinW JWJMolecular Biology Institute, Department of Chemistry and Biochemistry University of California, Los Angeles, 90095, USA.","Lin","LIN_1996",36,3
"8663258","1996","LiDDDepartment of Pharmacology, University of Washington, Seattle, Washington 98195, USA.","Li","LI_1996",37,3
"8665853","1996","Pinkas-KramarskiRRDepartment of Molecular Cell Biology, Weizmann Institute of Science, Israel.","Pinkas-Kramarski","PINKAS-KRAMARSKI_1996",38,3
"8666824","1996","ChengS TSTDepartment of Dermatology, University of Texas Southwestern Medical Center, Dallas, TX 75235, USA.","Cheng","CHENG_1996",39,3
