MGI.ID	MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	MOUSE.UNIPROT.ID	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	HUMAN.UNIPROT.ID	HGNC.ID	HOMOLOGY	HomoloGene.ID	BLONDEAU_2004	COUGHENOUR_2004	PHILLIPS_2005	MORCIANO_2005	BURRE_2006	TAKAMORI_2006	KHANNA_2007	MORCIANO_2009	ABUL_HUSN_2009	GORINI_2010	GRONBORG_2010	ABUL_HUSN_2011	BOYKEN_2013	WILHELM_2014	BRINKMALM_2014	WEINGARTEN_2014	KOKOTOS_2018	TAOUFIQ_2020	WITTIG_2021	count
MGI:88437	12799	Cnp	P16330;Q3TYL9;Q3TYV5	1267	CNP	P09543;A0A024R1T5	HGNC:2158	YES	7672	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	13
MGI:87994	11674	Aldoa	A6ZI44;Q5FWB7;P05064	226	ALDOA	P04075;V9HWN7	HGNC:414	YES	123896	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	13
MGI:1921084	73834	Atp6v1d	P57746;Q3U861	51382	ATP6V1D	A0A024R683;Q9Y5K8	HGNC:13527	YES	5783	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	12
MGI:88108	11931	Atp1b1	P14094;Q3TV47;Q545P0	481	ATP1B1	A3KLL5;P05026	HGNC:804	YES	37509	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	12
MGI:1927338	64176	Sv2b	Q8BG39	9899	SV2B	Q7L1I2	HGNC:16874	YES	32236	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	12
MGI:97281	17967	Ncam1	A0A0A6YY47;P13595;E9Q589;E9QB01	4684	NCAM1	P13591;A0A087WWD4	HGNC:7656	YES	40754	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	12
MGI:97548	18642	Pfkm	P47857	5213	PFKM	A0A024R0Y5;P08237	HGNC:8877	YES	20101	1	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	1	1	12
MGI:892995	13002	Dnajc5	P60904	80331	DNAJC5	Q6AHX3;Q9H3Z4	HGNC:16235	YES	9631	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	12
MGI:98747	21838	Thy1	P01831	7070	THY1	B0YJA4;P04216	HGNC:11801	YES	4580	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	12
MGI:1195461	18951	05-Sep	Q9Z2Q6	5413	05-Sep	Q99719;X5DNA9	HGNC:9164	YES	74446	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	12
MGI:1915615	68365	Rab14	Q50HX4;Q91V41;Q50HX3	51552	RAB14	A0A024R845;P61106	HGNC:16524	YES	48679	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	12
MGI:88106	98660	Atp1a2	Q3UHK5;Q6PIE5	477	ATP1A2	P50993	HGNC:800	YES	47947	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	12
MGI:96568	226180	Ina	P46660	9118	INA	Q16352	HGNC:6057	YES	10433	0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	12
MGI:1349763	12934	Dpysl2	O08553	1808	DPYSL2	Q16555;Q59GB4	HGNC:3014	YES	74392	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	12
MGI:1095410	22145	Tuba4a	P68368	7277	TUBA4A	P68366	HGNC:12407	YES	68496	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	11
MGI:1345280	22784	Slc30a3	P97441;Q3TMQ7;Q6NZC3;S4R169	7781	SLC30A3	Q99726	HGNC:11014	YES	74470	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	11
MGI:1933947	104001	Rtn1	Q05CD8;Q7M6W1;Q4FJL2;Q4FZ95;Q8K0T0	6252	RTN1	Q16799;A8K3B9	HGNC:10467	YES	49654	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	11
MGI:1927139	64051	Sv2a	Q9JIS5	9900	SV2A	B4E000;Q7L0J3	HGNC:20566	YES	32237	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	11
MGI:99666	20980	Syt2	P46097	127833	SYT2	A0A024R9B3;Q8N9I0	HGNC:11510	YES	22516	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	11
MGI:109484	22631	Ywhaz	P63101	7534	YWHAZ	D0PNI1;P63104	HGNC:12855	YES	56528	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	11
MGI:88261	12330	Canx	P35564;Q5SUC3	821	CANX	P27824	HGNC:1473	YES	1324	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	11
MGI:107671	234267	Gpm6a	P35802;Q8R1P3;Q542P2	2823	GPM6A	P51674	HGNC:4460	YES	3864	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	11
MGI:1328323	20972	Syngr1	O55100;Q3U6D7	9145	SYNGR1	O43759	HGNC:11498	YES	3456	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	11
MGI:1914864	108664	Atp6v1h	Q8BVE3;A0A0A6YX18	51606	ATP6V1H	A0A024R7U9;Q9UI12;A0A024R7X3;B3KUZ7	HGNC:18303	YES	7139	1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	11
MGI:1313276	22317	Vamp1	Q62442	6843	VAMP1	F5GZV7;P23763	HGNC:12642	YES	40678	1	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	11
MGI:1920211	72961	Slc17a7	Q3TXX4;Q8JZR7	57030	SLC17A7	Q9P2U7	HGNC:16704	YES	113454	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	11
MGI:2141861	232910	Ap2s1	P62743;Q3UJ76	1175	AP2S1	M0QYZ2;P53680;X6R390;M0R0N4	HGNC:565	YES	3001	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	11
MGI:108077	20320	Nptn	P97300	27020	NPTN	Q9Y639	HGNC:17867	NO	NA	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	11
MGI:1928750	59021	Rab2a	P53994;Q0PD65	5862	RAB2A	P61019;A0A024R7V6	HGNC:9763	YES	20628	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	11
MGI:105980	12805	Cntn1	P12960	1272	CNTN1	Q12860;A0A024R104	HGNC:2171	YES	7274	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	11
MGI:96925	17196	Mbp	P04370;Q5D096;Q542T4;Q3UGF3	4155	MBP	P02686;A0A024R384	HGNC:6925	YES	1788	1	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	1	11
MGI:894689	22627	Ywhae	P62259;Q5SS40	7531	YWHAE	P62258;V9HW98	HGNC:12851	YES	100743	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	11
MGI:97623	18823	Plp1	P60202;Q3UYM8	5354	PLP1	A8K9L3;P60201;B4DI30	HGNC:9086	YES	448	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	11
MGI:101863	11676	Aldoc	P05063	230	ALDOC	A0A024QZ64;P09972	HGNC:418	YES	21073	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	11
MGI:106919	22333	Vdac1	Q60932	7416	VDAC1	B3KTS5;P21796	HGNC:12669	YES	107244	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	1	11
MGI:97845	19353	Rac1	K7Q7T7;P63001;Q3TLP8	5879	RAC1	A4D2P1;P63000;A4D2P0	HGNC:9801	YES	69035	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	11
MGI:1349453	26950	Vsnl1	P62761;Q4W4C9	7447	VSNL1	P62760	HGNC:12722	YES	2542	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	11
MGI:97591	18746	Pkm	P52480	5315	PKM	P14618;B4DNK4;V9HWB8;A0A024R5Z9	HGNC:9021	YES	37650	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	11
MGI:1915472	227613	Tubb4b	P68372	10383	TUBB4B	P68371	HGNC:20771	YES	68504	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	11
MGI:1261437	11949	Atp5c1	Q3UD06;Q8C2Q8;Q91VR2;A2AKU9	509	ATP5C1	P36542;Q8TAS0	HGNC:833	YES	3792	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	8
MGI:107848	22153	Tubb4a	Q9D6F9	10382	TUBB4A	P04350	HGNC:20774	YES	55952	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	10
MGI:95771	14677	Gnai1	B2RSH2	2770	GNAI1	P63096	HGNC:4384	YES	74417	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	10
MGI:1928948	56807	Scamp5	Q9JKD3	192683	SCAMP5	A0A0A8K8F5;Q8TAC9	HGNC:30386	YES	56880	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	9
MGI:95753	14661	Glud1	P26443;Q3TSQ7	2746	GLUD1	E9KL48;P00367	HGNC:4335	YES	55885	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	10
MGI:1891833	56421	Pfkp	Q8C605;Q9WUA3	5214	PFKP	Q01813	HGNC:8878	YES	20579	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	10
MGI:96103	15275	Hk1	Q3TTB4;Q6GQU1;B4YB29;P17710;G3UVV4	3098	HK1	A8K7J7;B3KXY9;P19367;Q59FD4;A0A024QZK7;P78542	HGNC:4922	YES	100530	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1	10
MGI:1915835	68585	Rtn4	Q78NS1;Q99P72;Q8BH78;Q8BHF5	57142	RTN4	Q9NQC3	HGNC:14085	YES	10743	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	10
MGI:107876	22273	Uqcrc1	Q9CZ13	7384	UQCRC1	P31930	HGNC:12585	YES	2525	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	8
MGI:99441	12716	Ckmt1	P30275;Q545N7	548596	CKMT1A	P12532	HGNC:31736	YES	69058	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	10
MGI:106915	22334	Vdac2	Q60930	7417	VDAC2	P45880;A0A024QZT0	HGNC:12672	YES	37765	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	10
MGI:105066	19325	Rab10	P61027;Q4FJL0	10890	RAB10	P61026	HGNC:9759	YES	41111	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	10
MGI:107801	11947	Atp5b	P56480	506	ATP5B	P06576;V9HW31	HGNC:830	YES	1273	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	8
MGI:1096317	13628	Eef1a2	P62631	1917	EEF1A2	Q05639	HGNC:3192	YES	121568	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	10
MGI:107813	22152	Tubb3	Q9ERD7	10381	TUBB3	Q13509;Q53G92	HGNC:20772	YES	68503	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	10
MGI:98386	20740	Sptan1	A3KGU7;B2RXX6;B9EKJ1;A3KGU5;B7ZWK3	6709	SPTAN1	Q13813;A0A0D9SGF6	HGNC:11273	YES	2353	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	1	10
MGI:1915513	68263	Pdhb	Q9D051	5162	PDHB	P11177	HGNC:8808	YES	712	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	9
MGI:1194488	22348	Slc32a1	O35633;Q49S98	140679	SLC32A1	Q9H598	HGNC:11018	YES	56451	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	10
MGI:2385311	235339	Dlat	Q8BMF4	1737	DLAT	P10515;Q86YI5	HGNC:2896	YES	6814	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	10
MGI:2442535	229706	Slc6a17	Q8BJI1	388662	SLC6A17	Q9H1V8	HGNC:31399	YES	27775	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	10
MGI:88407	12709	Ckb	Q04447	1152	CKB	P12277;V9HWH2	HGNC:1991	YES	37530	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	10
MGI:1914545	67295	Rab3c	P62823;Q542T7;Q9CXS2	115827	RAB3C	Q96E17	HGNC:30269	YES	23420	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	10
MGI:1923558	76308	Rab1b	Q0PD66;Q9D1G1	81876	RAB1B	Q9H0U4	HGNC:18370	YES	128838	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1	10
MGI:97749	268373	Ppia	P17742;Q5SVY2	5478	PPIA	P62937;V9HWF5	HGNC:9253	YES	134504	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	9
MGI:1349480	107767	Scamp1	Q3TD71;Q8K021;Q3TSA8	9522	SCAMP1	A0A087WXB0;B4E2V7;O15126	HGNC:10563	YES	37975	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	10
MGI:96247	15516	Hsp90ab1	P11499;Q71LX8	3326	HSP90AB1	A0A024RD80;P08238;B4DGL0;Q6PK50	HGNC:5258	YES	74306	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	9
MGI:95835	14828	Hspa5	P20029;Q3U7T8	3309	HSPA5	P11021;V9HWB4	HGNC:5238	YES	3908	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	10
MGI:107793	12933	Crmp1	Q6P1J1;P97427	1400	CRMP1	B3KT07;Q14194;Q96I11;X5DNI1;E9PD68;B3KV96	HGNC:2365	YES	20347	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	10
MGI:1261760	268890	Lsamp	Q8BLK3;Q3TYE5	4045	LSAMP	Q13449	HGNC:6705	YES	20533	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	10
MGI:1096881	13627	Eef1a1	P10126;Q58E64	1915	EEF1A1	P68104;Q6IPS9	HGNC:3189	YES	100799	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	1	9
MGI:88115	11946	Atp5a1	Q03265	498	ATP5A1	P25705;V9HW26	HGNC:823	YES	2985	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	10
MGI:1201690	17760	Map6	Q7TSJ2	4135	MAP6	Q96JE9	HGNC:6868	YES	7850	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	10
MGI:1914253	67003	Uqcrc2	Q9DB77	7385	UQCRC2	P22695	HGNC:12586	YES	37764	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	7
MGI:1201780	11964	Atp6v1a	P50516	523	ATP6V1A	P38606	HGNC:851	YES	123934	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	9
MGI:98388	20742	Sptbn1	Q3TTX2;Q3TZN6;Q62261;Q8BQ35;Q8R1C2	6711	SPTBN1	B2ZZ89;Q01082	HGNC:11275	YES	2354	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	9
MGI:95797	14751	Gpi1	P06745	2821	GPI	P06744;B4DE36	HGNC:4458	YES	145	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	9
MGI:1913487	66237	Atp6v1g2	Q54A87;Q9WTT4;G5E923	534	ATP6V1G2	O95670;Q6NVJ2	HGNC:862	YES	41518	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	9
MGI:1855689	53602	Hpcal1	P62748	3241	HPCAL1	O75544;P37235;Q6FGY1	HGNC:5145	YES	37586	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	9
MGI:1353495	11739	Slc25a4	P48962	291	SLC25A4	P12235	HGNC:10990	YES	36058	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	0	8
MGI:1927243	56044	Rala	P63321	5898	RALA	P11233	HGNC:9839	YES	3942	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	9
MGI:1341881	20974	Syngr3	Q8R191	9143	SYNGR3	O43761	HGNC:11501	YES	3101	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	9
MGI:1345148	24050	03-Sep	Q9Z1S5	55964	03-Sep	Q9UH03	HGNC:10750	YES	99740	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	9
MGI:105368	11941	Atp2b2	Q3UHH0;Q3UHJ3;Q9R0K7;F8WHB1	491	ATP2B2	A0A024R2K6;Q01814;Q4J699;Q4LE63;A0A024R2E4	HGNC:815	YES	56150	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	9
MGI:95530	14194	Fh1	P97807	2271	FH	P07954	HGNC:3700	YES	115	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	9
MGI:95776	14682	Gnaq	P21279;Q3UHH5	2776	GNAQ	A0A024R240;P50148	HGNC:4390	YES	1566	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	9
MGI:103147	13424	Dync1h1	Q9JHU4	1778	DYNC1H1	Q14204	HGNC:2961	YES	1053	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	9
MGI:1917158	69908	Rab3b	Q0PD62;Q9CZT8	5865	RAB3B	P20337	HGNC:9778	YES	2149	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	9
MGI:102520	12034	Phb2	O35129;Q3V235	11331	PHB2	Q99623	HGNC:30306	YES	5263	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	7
MGI:97597	18752	Prkcg	Q2NKI4;Q3UN66;P63318	5582	PRKCG	P05129	HGNC:9402	YES	20602	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	9
MGI:1860197	104082	Wdr7	Q920I9	23335	WDR7	Q9Y4E6	HGNC:13490	YES	11408	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	9
MGI:1933179	56013	Srcin1	B1AQX9;Q9QWI6;B1AQX7	80725	SRCIN1	Q9C0H9	HGNC:29506	YES	10324	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1	9
MGI:102503	17709	mt-Co2	P00405;Q7JCZ1	4513	COX2	P00403;U5Z487	HGNC:7421	YES	5017	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	7
MGI:95792	14719	Got2	P05202	2806	GOT2	P00505	HGNC:4433	YES	1572	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	9
MGI:2156052	140919	Slc17a6	Q8BLE7	57084	SLC17A6	Q9P2U8	HGNC:16703	YES	121617	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	9
MGI:1919253	72003	Synpr	Q8BGN8	132204	SYNPR	Q8TBG9	HGNC:16507	YES	11407	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	9
MGI:1096368	11764	Ap1b1	Q8CC13;O35643	162	AP1B1	Q10567	HGNC:554	YES	21972	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	9
