"PMID","Year","Title","Source","Author","Name"
22729224,"2012","De novo germline and postzygotic mutations in AKT3, PIK3R2 and PIK3CA cause a spectrum of related megalencephaly syndromes.","Nat Genet","Rivière JB, Mirzaa GM, O'Roak BJ, Beddaoui M, Alcantara D, Conway RL, St-Onge J, Schwartzentruber JA, Gripp KW, Nikkel SM, Worthylake T, Sullivan CT, Ward TR, Butler HE, Kramer NA, Albrecht B, Armour CM, Armstrong L, Caluseriu O, Cytrynbaum C, Drolet BA, Innes AM, Lauzon JL, Lin AE, Mancini GM, Meschino WS, Reggin JD, Saggar AK, Lerman-Sagie T, Uyanik G, Weksberg R, Zirn B, Beaulieu CL, Finding of Rare Disease Genes (FORGE) Canada Consortium., Majewski J, Bulman DE, O'Driscoll M, Shendure J, Graham JM Jr, Boycott KM, Dobyns WB, Dobyns WB","RIVIÈRE_2012"
22956686,"2012","Mutations in BCKD-kinase lead to a potentially treatable form of autism with epilepsy.","Science","Novarino G, El-Fishawy P, Kayserili H, Meguid NA, Scott EM, Schroth J, Silhavy JL, Kara M, Khalil RO, Ben-Omran T, Ercan-Sencicek AG, Hashish AF, Sanders SJ, Gupta AR, Hashem HS, Matern D, Gabriel S, Sweetman L, Rahimi Y, Harris RA, State MW, Gleeson JG, Gleeson JG","NOVARINO_2012"
23020937,"2012","Range of genetic mutations associated with severe non-syndromic sporadic intellectual disability: an exome sequencing study.","Lancet","Rauch A, Wieczorek D, Graf E, Wieland T, Endele S, Schwarzmayr T, Albrecht B, Bartholdi D, Beygo J, Di Donato N, Dufke A, Cremer K, Hempel M, Horn D, Hoyer J, Joset P, Röpke A, Moog U, Riess A, Thiel CT, Tzschach A, Wiesener A, Wohlleber E, Zweier C, Ekici AB, Zink AM, Rump A, Meisinger C, Grallert H, Sticht H, Schenck A, Engels H, Rappold G, Schröck E, Wieacker P, Riess O, Meitinger T, Reis A, Strom TM, Strom TM","RAUCH_2012"
23092983,"2012","Analysis of the chromosome X exome in patients with autism spectrum disorders identified novel candidate genes, including TMLHE.","Transl Psychiatry","Nava C, Lamari F, Héron D, Mignot C, Rastetter A, Keren B, Cohen D, Faudet A, Bouteiller D, Gilleron M, Jacquette A, Whalen S, Afenjar A, Périsse D, Laurent C, Dupuits C, Gautier C, Gérard M, Huguet G, Caillet S, Leheup B, Leboyer M, Gillberg C, Delorme R, Bourgeron T, Brice A, Depienne C, Depienne C","NAVA_2012"
23686771,"2013","Mutations in TNK2 in severe autosomal recessive infantile onset epilepsy.","Ann Neurol","Hitomi Y, Heinzen EL, Donatello S, Dahl HH, Damiano JA, McMahon JM, Berkovic SF, Scheffer IE, Legros B, Rai M, Weckhuysen S, Suls A, De Jonghe P, Pandolfo M, Goldstein DB, Van Bogaert P, Depondt C, Depondt C","HITOMI_2013"
23708187,"2013","Targeted resequencing in epileptic encephalopathies identifies de novo mutations in CHD2 and SYNGAP1.","Nat Genet","Carvill GL, Heavin SB, Yendle SC, McMahon JM, O'Roak BJ, Cook J, Khan A, Dorschner MO, Weaver M, Calvert S, Malone S, Wallace G, Stanley T, Bye AM, Bleasel A, Howell KB, Kivity S, Mackay MT, Rodriguez-Casero V, Webster R, Korczyn A, Afawi Z, Zelnick N, Lerman-Sagie T, Lev D, Møller RS, Gill D, Andrade DM, Freeman JL, Sadleir LG, Shendure J, Berkovic SF, Scheffer IE, Mefford HC, Mefford HC","CARVILL_2013"
23745724,"2014","AKT3 and PIK3R2 mutations in two patients with megalencephaly-related syndromes: MCAP and MPPH.","Clin Genet","Nakamura K, Kato M, Tohyama J, Shiohama T, Hayasaka K, Nishiyama K, Kodera H, Nakashima M, Tsurusaki Y, Miyake N, Matsumoto N, Saitsu H, Saitsu H","NAKAMURA_2014"
23934111,"2013","De novo mutations in epileptic encephalopathies.","Nature","Epi4K Consortium., Epilepsy Phenome/Genome Project., Allen AS, Berkovic SF, Cossette P, Delanty N, Dlugos D, Eichler EE, Epstein MP, Glauser T, Goldstein DB, Han Y, Heinzen EL, Hitomi Y, Howell KB, Johnson MR, Kuzniecky R, Lowenstein DH, Lu YF, Madou MR, Marson AG, Mefford HC, Esmaeeli Nieh S, O'Brien TJ, Ottman R, Petrovski S, Poduri A, Ruzzo EK, Scheffer IE, Sherr EH, Yuskaitis CJ, Abou-Khalil B, Alldredge BK, Bautista JF, Berkovic SF, Boro A, Cascino GD, Consalvo D, Crumrine P, Devinsky O, Dlugos D, Epstein MP, Fiol M, Fountain NB, French J, Friedman D, Geller EB, Glauser T, Glynn S, Haut SR, Hayward J, Helmers SL, Joshi S, Kanner A, Kirsch HE, Knowlton RC, Kossoff EH, Kuperman R, Kuzniecky R, Lowenstein DH, McGuire SM, Motika PV, Novotny EJ, Ottman R, Paolicchi JM, Parent JM, Park K, Poduri A, Scheffer IE, Shellhaas RA, Sherr EH, Shih JJ, Singh R, Sirven J, Smith MC, Sullivan J, Lin Thio L, Venkat A, Vining EP, Von Allmen GK, Weisenberg JL, Widdess-Walsh P, Winawer MR, Winawer MR","EPI4K_2013"
24207121,"2013","De novo loss-of-function mutations in CHD2 cause a fever-sensitive myoclonic epileptic encephalopathy sharing features with Dravet syndrome.","Am J Hum Genet","Suls A, Jaehn JA, Kecskés A, Weber Y, Weckhuysen S, Craiu DC, Siekierska A, Djémié T, Afrikanova T, Gormley P, von Spiczak S, Kluger G, Iliescu CM, Talvik T, Talvik I, Meral C, Caglayan HS, Giraldez BG, Serratosa J, Lemke JR, Hoffman-Zacharska D, Szczepanik E, Barisic N, Komarek V, Hjalgrim H, Møller RS, Linnankivi T, Dimova P, Striano P, Zara F, Marini C, Guerrini R, Depienne C, Baulac S, Kuhlenbäumer G, Crawford AD, Lehesjoki AE, de Witte PA, Palotie A, Lerche H, Esguerra CV, De Jonghe P, Helbig I, EuroEPINOMICS RES Consortium., Helbig I","SULS_2013"
24360806,"2014","Rare-variant extensions of the transmission disequilibrium test: application to autism exome sequence data.","Am J Hum Genet","He Z, O'Roak BJ, Smith JD, Wang G, Hooker S, Santos-Cortez RL, Li B, Kan M, Krumm N, Nickerson DA, Shendure J, Eichler EE, Leal SM, Leal SM","HE_2014"
24410847,"2014","Exome sequencing of extended families with autism reveals genes shared across neurodevelopmental and neuropsychiatric disorders.","Mol Autism","Cukier HN, Dueker ND, Slifer SH, Lee JM, Whitehead PL, Lalanne E, Leyva N, Konidari I, Gentry RC, Hulme WF, Booven DV, Mayo V, Hofmann NK, Schmidt MA, Martin ER, Haines JL, Cuccaro ML, Gilbert JR, Pericak-Vance MA, Pericak-Vance MA","CUKIER_2014"
24449431,"2014","Two novel mutations in the BCKDK (branched-chain keto-acid dehydrogenase kinase) gene are responsible for a neurobehavioral deficit in two pediatric unrelated patients.","Hum Mutat","García-Cazorla A, Oyarzabal A, Fort J, Robles C, Castejón E, Ruiz-Sala P, Bodoy S, Merinero B, Lopez-Sala A, Dopazo J, Nunes V, Ugarte M, Artuch R, Palacín M, Rodríguez-Pombo P, Alcaide P, Navarrete R, Sanz P, Font-Llitjós M, Vilaseca MA, Ormaizabal A, Pristoupilova A, Agulló SB, Agulló SB","GARCÍA-CAZORLA_2014"
24614520,"2014","CHD2 mutations in Lennox-Gastaut syndrome.","Epilepsy Behav","Lund C, Brodtkorb E, Øye AM, Røsby O, Selmer KK, Selmer KK","LUND_2014"
24705253,"2014","De novo CCND2 mutations leading to stabilization of cyclin D2 cause megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome.","Nat Genet","Mirzaa G, Parry DA, Fry AE, Giamanco KA, Schwartzentruber J, Vanstone M, Logan CV, Roberts N, Johnson CA, Singh S, Kholmanskikh SS, Adams C, Hodge RD, Hevner RF, Bonthron DT, Braun KPJ, Faivre L, Rivière JB, St-Onge J, Gripp KW, Mancini GM, Pang K, Sweeney E, van Esch H, Verbeek N, Wieczorek D, Steinraths M, Majewski J, FORGE Canada Consortium., Boycot KM, Pilz DT, Ross ME, Dobyns WB, Sheridan EG, Sheridan EG","MIRZAA_2014"
24839052,"2014","Association of CDH11 with non-syndromic ASD.","Am J Med Genet B Neuropsychiatr Genet","Crepel A, De Wolf V, Brison N, Ceulemans B, Walleghem D, Peuteman G, Lambrechts D, Steyaert J, Noens I, Devriendt K, Peeters H, Peeters H","CREPEL_2014"
25262651,"2014","De novo mutations in synaptic transmission genes including DNM1 cause epileptic encephalopathies.","Am J Hum Genet","EuroEPINOMICS-RES Consortium., Epilepsy Phenome/Genome Project., Epi4K Consortium., Epi4K Consortium.","EUROEPINOMICS-RES_2014"
25284784,"2014","De novo insertions and deletions of predominantly paternal origin are associated with autism spectrum disorder.","Cell Rep","Dong S, Walker MF, Carriero NJ, DiCola M, Willsey AJ, Ye AY, Waqar Z, Gonzalez LE, Overton JD, Frahm S, Keaney JF 3rd, Teran NA, Dea J, Mandell JD, Hus Bal V, Sullivan CA, DiLullo NM, Khalil RO, Gockley J, Yuksel Z, Sertel SM, Ercan-Sencicek AG, Gupta AR, Mane SM, Sheldon M, Brooks AI, Roeder K, Devlin B, State MW, Wei L, Sanders SJ, Sanders SJ","DONG_2014"
25356899,"2014","De novo mutations in moderate or severe intellectual disability.","PLoS Genet","Hamdan FF, Srour M, Capo-Chichi JM, Daoud H, Nassif C, Patry L, Massicotte C, Ambalavanan A, Spiegelman D, Diallo O, Henrion E, Dionne-Laporte A, Fougerat A, Pshezhetsky AV, Venkateswaran S, Rouleau GA, Michaud JL, Michaud JL","HAMDAN_2014"
25363760,"2014","Synaptic, transcriptional and chromatin genes disrupted in autism.","Nature","De Rubeis S, He X, Goldberg AP, Poultney CS, Samocha K, Cicek AE, Kou Y, Liu L, Fromer M, Walker S, Singh T, Klei L, Kosmicki J, Shih-Chen F, Aleksic B, Biscaldi M, Bolton PF, Brownfeld JM, Cai J, Campbell NG, Carracedo A, Chahrour MH, Chiocchetti AG, Coon H, Crawford EL, Curran SR, Dawson G, Duketis E, Fernandez BA, Gallagher L, Geller E, Guter SJ, Hill RS, Ionita-Laza J, Jimenz Gonzalez P, Kilpinen H, Klauck SM, Kolevzon A, Lee I, Lei I, Lei J, Lehtimäki T, Lin CF, Ma'ayan A, Marshall CR, McInnes AL, Neale B, Owen MJ, Ozaki N, Parellada M, Parr JR, Purcell S, Puura K, Rajagopalan D, Rehnström K, Reichenberg A, Sabo A, Sachse M, Sanders SJ, Schafer C, Schulte-Rüther M, Skuse D, Stevens C, Szatmari P, Tammimies K, Valladares O, Voran A, Li-San W, Weiss LA, Willsey AJ, Yu TW, Yuen RK, DDD Study., Homozygosity Mapping Collaborative for Autism., UK10K Consortium., Cook EH, Freitag CM, Gill M, Hultman CM, Lehner T, Palotie A, Schellenberg GD, Sklar P, State MW, Sutcliffe JS, Walsh CA, Scherer SW, Zwick ME, Barett JC, Cutler DJ, Roeder K, Devlin B, Daly MJ, Buxbaum JD, Buxbaum JD","DE_RUBEIS_2014"
25363768,"2014","The contribution of de novo coding mutations to autism spectrum disorder.","Nature","Iossifov I, O'Roak BJ, Sanders SJ, Ronemus M, Krumm N, Levy D, Stessman HA, Witherspoon KT, Vives L, Patterson KE, Smith JD, Paeper B, Nickerson DA, Dea J, Dong S, Gonzalez LE, Mandell JD, Mane SM, Murtha MT, Sullivan CA, Walker MF, Waqar Z, Wei L, Willsey AJ, Yamrom B, Lee YH, Grabowska E, Dalkic E, Wang Z, Marks S, Andrews P, Leotta A, Kendall J, Hakker I, Rosenbaum J, Ma B, Rodgers L, Troge J, Narzisi G, Yoon S, Schatz MC, Ye K, McCombie WR, Shendure J, Eichler EE, State MW, Wigler M, Wigler M","IOSSIFOV_2014"
25416470,"2015","Sudden death in a case of megalencephaly capillary malformation associated with a de novo mutation in AKT3.","Childs Nerv Syst","Harada A, Miya F, Utsunomiya H, Kato M, Yamanaka T, Tsunoda T, Kosaki K, Kanemura Y, Yamasaki M, Yamasaki M","HARADA_2015"
25523067,"2015","Germline activating AKT3 mutation associated with megalencephaly, polymicrogyria, epilepsy and hypoglycemia.","Mol Genet Metab","Nellist M, Schot R, Hoogeveen-Westerveld M, Neuteboom RF, van der Louw EJ, Lequin MH, Bindels-de Heus K, Sibbles BJ, de Coo R, Brooks A, Mancini GM, Mancini GM","NELLIST_2015"
25533962,"2015","Large-scale discovery of novel genetic causes of developmental disorders.","Nature","Deciphering Developmental Disorders Study., Deciphering Developmental Disorders Study.","DECIPHERING_DEVELOPMENTAL_DISORDERS_2015"
25741868,"2015","Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology.","Genet Med","Richards S, Aziz N, Bale S, Bick D, Das S, Gastier-Foster J, Grody WW, Hegde M, Lyon E, Spector E, Voelkerding K, Rehm HL, ACMG Laboratory Quality Assurance Committee., Rehm HL","RICHARDS_2015"
25961944,"2015","Excess of rare, inherited truncating mutations in autism.","Nat Genet","Krumm N, Turner TN, Baker C, Vives L, Mohajeri K, Witherspoon K, Raja A, Coe BP, Stessman HA, He ZX, Leal SM, Bernier R, Eichler EE, Eichler EE","KRUMM_2015"
26262932,"2015","CHD2 mutations are a rare cause of generalized epilepsy with myoclonic-atonic seizures.","Epilepsy Behav","Trivisano M, Striano P, Sartorelli J, Giordano L, Traverso M, Accorsi P, Cappelletti S, Claps DJ, Vigevano F, Zara F, Specchio N, Specchio N","TRIVISANO_2015"
26314684,"2016","Genome-wide Association Study of Autism Spectrum Disorder in the East Asian Populations.","Autism Res","Liu X, Shimada T, Otowa T, Wu YY, Kawamura Y, Tochigi M, Iwata Y, Umekage T, Toyota T, Maekawa M, Iwayama Y, Suzuki K, Kakiuchi C, Kuwabara H, Kano Y, Nishida H, Sugiyama T, Kato N, Chen CH, Mori N, Yamada K, Yoshikawa T, Kasai K, Tokunaga K, Sasaki T, Gau SS, Gau SS","LIU_2016"
26613940,"2015","Simultaneous impairment of neuronal and metabolic function of mutated gephyrin in a patient with epileptic encephalopathy.","EMBO Mol Med","Dejanovic B, Djémié T, Grünewald N, Suls A, Kress V, Hetsch F, Craiu D, Zemel M, Gormley P, Lal D, EuroEPINOMICS Dravet working group., Myers CT, Mefford HC, Palotie A, Helbig I, Meier JC, De Jonghe P, Weckhuysen S, Schwarz G, Schwarz G","DEJANOVIC_2015"
26795593,"2016","Diagnostic exome sequencing provides a molecular diagnosis for a significant proportion of patients with epilepsy.","Genet Med","Helbig KL, Farwell Hagman KD, Shinde DN, Mroske C, Powis Z, Li S, Tang S, Helbig I, Helbig I","HELBIG_2016"
27431290,"2017","Clinical genomics expands the morbid genome of intellectual disability and offers a high diagnostic yield.","Mol Psychiatry","Anazi S, Maddirevula S, Faqeih E, Alsedairy H, Alzahrani F, Shamseldin HE, Patel N, Hashem M, Ibrahim N, Abdulwahab F, Ewida N, Alsaif HS, Al Sharif H, Alamoudi W, Kentab A, Bashiri FA, Alnaser M, AlWadei AH, Alfadhel M, Eyaid W, Hashem A, Al Asmari A, Saleh MM, AlSaman A, Alhasan KA, Alsughayir M, Al Shammari M, Mahmoud A, Al-Hassnan ZN, Al-Husain M, Osama Khalil R, Abd El Meguid N, Masri A, Ali R, Ben-Omran T, El Fishway P, Hashish A, Ercan Sencicek A, State M, Alazami AM, Salih MA, Altassan N, Arold ST, Abouelhoda M, Wakil SM, Monies D, Shaheen R, Alkuraya FS, Alkuraya FS","ANAZI_2017"
27479843,"2016","Meta-analysis of 2,104 trios provides support for 10 new genes for intellectual disability.","Nat Neurosci","Lelieveld SH, Reijnders MR, Pfundt R, Yntema HG, Kamsteeg EJ, de Vries P, de Vries BB, Willemsen MH, Kleefstra T, Löhner K, Vreeburg M, Stevens SJ, van der Burgt I, Bongers EM, Stegmann AP, Rump P, Rinne T, Nelen MR, Veltman JA, Vissers LE, Brunner HG, Gilissen C, Gilissen C","LELIEVELD_2016"
27525107,"2016","Genome-wide characteristics of <i>de novo</i> mutations in autism.","NPJ Genom Med","Yuen RK, Merico D, Cao H, Pellecchia G, Alipanahi B, Thiruvahindrapuram B, Tong X, Sun Y, Cao D, Zhang T, Wu X, Jin X, Zhou Z, Liu X, Nalpathamkalam T, Walker S, Howe JL, Wang Z, MacDonald JR, Chan A, D'Abate L, Deneault E, Siu MT, Tammimies K, Uddin M, Zarrei M, Wang M, Li Y, Wang J, Wang J, Yang H, Bookman M, Bingham J, Gross SS, Loy D, Pletcher M, Marshall CR, Anagnostou E, Zwaigenbaum L, Weksberg R, Fernandez BA, Roberts W, Szatmari P, Glazer D, Frey BJ, Ring RH, Xu X, Scherer SW, Scherer SW","YUEN_2016"
27615324,"2017","Application of whole-exome sequencing to unravel the molecular basis of undiagnosed syndromic congenital neutropenia with intellectual disability.","Am J Med Genet A","Gauthier-Vasserot A, Thauvin-Robinet C, Bruel AL, Duffourd Y, St-Onge J, Jouan T, Rivière JB, Heron D, Donadieu J, Bellanné-Chantelot C, Briandet C, Huet F, Kuentz P, Lehalle D, Duplomb-Jego L, Gautier E, Maystadt I, Pinson L, Amram D, El Chehadeh S, Melki J, Julia S, Faivre L, Thevenon J, Thevenon J","GAUTHIER-VASSEROT_2017"
27620904,"2017","High diagnostic yield of syndromic intellectual disability by targeted next-generation sequencing.","J Med Genet","Martínez F, Caro-Llopis A, Roselló M, Oltra S, Mayo S, Monfort S, Orellana C, Orellana C","MARTÍNEZ_2017"
27667684,"2016","Mutations in Human Accelerated Regions Disrupt Cognition and Social Behavior.","Cell","Doan RN, Bae BI, Cubelos B, Chang C, Hossain AA, Al-Saad S, Mukaddes NM, Oner O, Al-Saffar M, Balkhy S, Gascon GG, Homozygosity Mapping Consortium for Autism., Nieto M, Walsh CA, Walsh CA","DOAN_2016"
27824329,"2016","De novo genic mutations among a Chinese autism spectrum disorder cohort.","Nat Commun","Wang T, Guo H, Xiong B, Stessman HA, Wu H, Coe BP, Turner TN, Liu Y, Zhao W, Hoekzema K, Vives L, Xia L, Tang M, Ou J, Chen B, Shen Y, Xun G, Long M, Lin J, Kronenberg ZN, Peng Y, Bai T, Li H, Ke X, Hu Z, Zhao J, Zou X, Xia K, Eichler EE, Eichler EE","WANG_2016"
27848944,"2017","Clinical exome sequencing: results from 2819 samples reflecting 1000 families.","Eur J Hum Genet","Trujillano D, Bertoli-Avella AM, Kumar Kandaswamy K, Weiss ME, Köster J, Marais A, Paknia O, Schröder R, Garcia-Aznar JM, Werber M, Brandau O, Calvo Del Castillo M, Baldi C, Wessel K, Kishore S, Nahavandi N, Eyaid W, Al Rifai MT, Al-Rumayyan A, Al-Twaijri W, Alothaim A, Alhashem A, Al-Sannaa N, Al-Balwi M, Alfadhel M, Rolfs A, Abou Jamra R, Abou Jamra R","TRUJILLANO_2017"
27854409,"1993","MPPH Syndrome","","Mirzaa G, Adam MP, Everman DB, Mirzaa GM, Pagon RA, Wallace SE, Bean LJH, Gripp KW, Amemiya A, Mirzaa G","MIRZAA_1993"
28086757,"2017","A combination of genetic and biochemical analyses for the diagnosis of PI3K-AKT-mTOR pathway-associated megalencephaly.","BMC Med Genet","Negishi Y, Miya F, Hattori A, Johmura Y, Nakagawa M, Ando N, Hori I, Togawa T, Aoyama K, Ohashi K, Fukumura S, Mizuno S, Umemura A, Kishimoto Y, Okamoto N, Kato M, Tsunoda T, Yamasaki M, Kanemura Y, Kosaki K, Nakanishi M, Saitoh S, Saitoh S","NEGISHI_2017"
28102861,"2017","Clinical utility of next-generation sequencing for inherited bone marrow failure syndromes.","Genet Med","Muramatsu H, Okuno Y, Yoshida K, Shiraishi Y, Doisaki S, Narita A, Sakaguchi H, Kawashima N, Wang X, Xu Y, Chiba K, Tanaka H, Hama A, Sanada M, Takahashi Y, Kanno H, Yamaguchi H, Ohga S, Manabe A, Harigae H, Kunishima S, Ishii E, Kobayashi M, Koike K, Watanabe K, Ito E, Takata M, Yabe M, Ogawa S, Miyano S, Kojima S, Kojima S","MURAMATSU_2017"
28119487,"2017","<i>STAG1</i> mutations cause a novel cohesinopathy characterised by unspecific syndromic intellectual disability.","J Med Genet","Lehalle D, Mosca-Boidron AL, Begtrup A, Boute-Benejean O, Charles P, Cho MT, Clarkson A, Devinsky O, Duffourd Y, Duplomb-Jego L, Gérard B, Jacquette A, Kuentz P, Masurel-Paulet A, McDougall C, Moutton S, Olivié H, Park SM, Rauch A, Revencu N, Rivière JB, Rubin K, Simonic I, Shears DJ, Smol T, Taylor Tavares AL, Terhal P, Thevenon J, Van Gassen K, Vincent-Delorme C, Willemsen MH, Wilson GN, Zackai E, Zweier C, Callier P, Thauvin-Robinet C, Faivre L, Faivre L","LEHALLE_2017"
28191889,"2017","Targeted sequencing identifies 91 neurodevelopmental-disorder risk genes with autism and developmental-disability biases.","Nat Genet","Stessman HA, Xiong B, Coe BP, Wang T, Hoekzema K, Fenckova M, Kvarnung M, Gerdts J, Trinh S, Cosemans N, Vives L, Lin J, Turner TN, Santen G, Ruivenkamp C, Kriek M, van Haeringen A, Aten E, Friend K, Liebelt J, Barnett C, Haan E, Shaw M, Gecz J, Anderlid BM, Nordgren A, Lindstrand A, Schwartz C, Kooy RF, Vandeweyer G, Helsmoortel C, Romano C, Alberti A, Vinci M, Avola E, Giusto S, Courchesne E, Pramparo T, Pierce K, Nalabolu S, Amaral DG, Scheffer IE, Delatycki MB, Lockhart PJ, Hormozdiari F, Harich B, Castells-Nobau A, Xia K, Peeters H, Nordenskjöld M, Schenck A, Bernier RA, Eichler EE, Eichler EE","STESSMAN_2017"
28263302,"2017","Whole genome sequencing resource identifies 18 new candidate genes for autism spectrum disorder.","Nat Neurosci","C Yuen RK, Merico D, Bookman M, L Howe J, Thiruvahindrapuram B, Patel RV, Whitney J, Deflaux N, Bingham J, Wang Z, Pellecchia G, Buchanan JA, Walker S, Marshall CR, Uddin M, Zarrei M, Deneault E, D'Abate L, Chan AJ, Koyanagi S, Paton T, Pereira SL, Hoang N, Engchuan W, Higginbotham EJ, Ho K, Lamoureux S, Li W, MacDonald JR, Nalpathamkalam T, Sung WW, Tsoi FJ, Wei J, Xu L, Tasse AM, Kirby E, Van Etten W, Twigger S, Roberts W, Drmic I, Jilderda S, Modi BM, Kellam B, Szego M, Cytrynbaum C, Weksberg R, Zwaigenbaum L, Woodbury-Smith M, Brian J, Senman L, Iaboni A, Doyle-Thomas K, Thompson A, Chrysler C, Leef J, Savion-Lemieux T, Smith IM, Liu X, Nicolson R, Seifer V, Fedele A, Cook EH, Dager S, Estes A, Gallagher L, Malow BA, Parr JR, Spence SJ, Vorstman J, Frey BJ, Robinson JT, Strug LJ, Fernandez BA, Elsabbagh M, Carter MT, Hallmayer J, Knoppers BM, Anagnostou E, Szatmari P, Ring RH, Glazer D, Pletcher MT, Scherer SW, Scherer SW","C_YUEN_2017"
28472652,"2017","De Novo Coding Variants Are Strongly Associated with Tourette Disorder.","Neuron","Willsey AJ, Fernandez TV, Yu D, King RA, Dietrich A, Xing J, Sanders SJ, Mandell JD, Huang AY, Richer P, Smith L, Dong S, Samocha KE, Tourette International Collaborative Genetics (TIC Genetics)., Tourette Syndrome Association International Consortium for Genetics (TSAICG)., Neale BM, Coppola G, Mathews CA, Tischfield JA, Scharf JM, State MW, Heiman GA, Heiman GA","WILLSEY_2017"
28492532,"2017","Sherloc: a comprehensive refinement of the ACMG-AMP variant classification criteria.","Genet Med","Nykamp K, Anderson M, Powers M, Garcia J, Herrera B, Ho YY, Kobayashi Y, Patil N, Thusberg J, Westbrook M, Invitae Clinical Genomics Group., Topper S, Topper S","NYKAMP_2017"
